+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0601%  |
| Final balance               | 798.258   |
| Final equity                | 798.222   |
| Net PNL + fees              | -201.742  |
| Total gain                  | -17.58%   |
| Average daily gain          | -0.0178%  |
| DG mean std ratio           | -0.01147  |
| Price action distance mean  | 0.0793093 |
| Price action distance std   | 0.156627  |
| Price action distance max   | 1.38609   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7099    |
| Equity/balance ratio std    | 0.04536   |
| No. fills                   | 19152     |
| No. entries                 | 9985      |
| No. closes                  | 9167      |
| No. initial entries         | 7805      |
| No. reentries               | 2116      |
| No. unstuck entries         | 64        |
| No. unstuck closes          | 234       |
| No. normal closes           | 8933      |
| Average n fills per day     | 25.5      |
| Mean hours stuck            | 2.06129   |
| Max hours stuck             | 130.883   |
| PNL sum                     | -175.8    |
| Profit sum                  | 624.7     |
| Loss sum                    | -800.5    |
| Fee sum                     | -25.93    |
| Biggest pos size            | 164.6     |
| Biggest pos cost            | 618.9     |
| Volume quote                | 259263.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.65%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -899.472  |
| Total gain                  | -89.08%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.06411  |
| Price action distance mean  | 0.0631838 |
| Price action distance std   | 0.132629  |
| Price action distance max   | 0.645852  |
| Closest bankruptcy          | 5.968%    |
| Lowest equity/balance ratio | 0.08681   |
| Equity/balance ratio std    | 0.06096   |
| No. fills                   | 4981      |
| No. entries                 | 2962      |
| No. closes                  | 2018      |
| No. initial entries         | 2011      |
| No. reentries               | 951       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2018      |
| Average n fills per day     | 6.64      |
| Mean hours stuck            | 9.52515   |
| Max hours stuck             | 15277.8   |
| PNL sum                     | -890.8    |
| Profit sum                  | 198.8     |
| Loss sum                    | -1090.0   |
| Fee sum                     | -8.656    |
| Biggest pos size            | 195.4     |
| Biggest pos cost            | 596.0     |
| Volume quote                | 85964.9   |
+-----------------------------+-----------+
