+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0908%   |
| Final balance               | 1858.6    |
| Final equity                | 1858.58   |
| Net PNL + fees              | 858.601   |
| Total gain                  | 87.54%    |
| Average daily gain          | 0.065%    |
| DG mean std ratio           | 0.07912   |
| Price action distance mean  | 0.0115142 |
| Price action distance std   | 0.0264546 |
| Price action distance max   | 0.554062  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7588    |
| Equity/balance ratio std    | 0.01335   |
| No. fills                   | 47012     |
| No. entries                 | 20124     |
| No. closes                  | 26888     |
| No. initial entries         | 16715     |
| No. reentries               | 3409      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 26888     |
| Average n fills per day     | 46.5      |
| Mean hours stuck            | 1.45925   |
| Max hours stuck             | 211.117   |
| PNL sum                     | 875.4     |
| Profit sum                  | 875.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -16.79    |
| Biggest pos size            | 6012.0    |
| Biggest pos cost            | 1229.0    |
| Volume quote                | 167912.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0881%   |
| Final balance               | 1334.82   |
| Final equity                | 1334.81   |
| Net PNL + fees              | 334.823   |
| Total gain                  | 34.52%    |
| Average daily gain          | 0.0704%   |
| DG mean std ratio           | 0.02384   |
| Price action distance mean  | 0.0592609 |
| Price action distance std   | 0.131533  |
| Price action distance max   | 0.670274  |
| Closest bankruptcy          | 34.18%    |
| Lowest equity/balance ratio | 0.3392    |
| Equity/balance ratio std    | 0.08401   |
| No. fills                   | 19412     |
| No. entries                 | 6223      |
| No. closes                  | 13189     |
| No. initial entries         | 4921      |
| No. reentries               | 1302      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13189     |
| Average n fills per day     | 19.2      |
| Mean hours stuck            | 2.02993   |
| Max hours stuck             | 1867.62   |
| PNL sum                     | 345.2     |
| Profit sum                  | 345.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -10.35    |
| Biggest pos size            | 1734.0    |
| Biggest pos cost            | 432.2     |
| Volume quote                | 103516.0  |
+-----------------------------+-----------+
