+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.348%    |
| Final balance               | 13556.6   |
| Final equity                | 10921.7   |
| Net PNL + fees              | 12556.6   |
| Total gain                  | 1303.0%   |
| Average daily gain          | 0.334%    |
| DG mean std ratio           | 0.1123    |
| Price action distance mean  | 0.063589  |
| Price action distance std   | 0.0898211 |
| Price action distance max   | 1.09539   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5247    |
| Equity/balance ratio std    | 0.06764   |
| No. fills                   | 24872     |
| No. entries                 | 15179     |
| No. closes                  | 9693      |
| No. initial entries         | 9235      |
| No. reentries               | 5944      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9693      |
| Average n fills per day     | 30.2      |
| Mean hours stuck            | 1.45522   |
| Max hours stuck             | 1911.22   |
| PNL sum                     | 13030.0   |
| Profit sum                  | 13030.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -477.1    |
| Biggest pos size            | 328719.0  |
| Biggest pos cost            | 12320.0   |
| Volume quote                | 4770640.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -18.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -943.891  |
| Total gain                  | -94.37%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.03808  |
| Price action distance mean  | 0.165904  |
| Price action distance std   | 0.242897  |
| Price action distance max   | 0.909125  |
| Closest bankruptcy          | 5.308%    |
| Lowest equity/balance ratio | 0.08985   |
| Equity/balance ratio std    | 0.04042   |
| No. fills                   | 277       |
| No. entries                 | 246       |
| No. closes                  | 30        |
| No. initial entries         | 30        |
| No. reentries               | 216       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 30        |
| Average n fills per day     | 0.336     |
| Mean hours stuck            | 123.694   |
| Max hours stuck             | 14928.2   |
| PNL sum                     | -943.7    |
| Profit sum                  | 20.66     |
| Loss sum                    | -964.4    |
| Fee sum                     | -0.167    |
| Biggest pos size            | 33533.0   |
| Biggest pos cost            | 92.84     |
| Volume quote                | 1577.45   |
+-----------------------------+-----------+
