+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0894%   |
| Final balance               | 1564.52   |
| Final equity                | 1563.87   |
| Net PNL + fees              | 564.518   |
| Total gain                  | 59.62%    |
| Average daily gain          | 0.049%    |
| DG mean std ratio           | 0.05348   |
| Price action distance mean  | 0.0154117 |
| Price action distance std   | 0.027306  |
| Price action distance max   | 0.977035  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7529    |
| Equity/balance ratio std    | 0.01013   |
| No. fills                   | 22600     |
| No. entries                 | 12927     |
| No. closes                  | 9673      |
| No. initial entries         | 8925      |
| No. reentries               | 3923      |
| No. unstuck entries         | 79        |
| No. unstuck closes          | 279       |
| No. normal closes           | 9394      |
| Average n fills per day     | 22.6      |
| Mean hours stuck            | 2.05768   |
| Max hours stuck             | 358.167   |
| PNL sum                     | 596.2     |
| Profit sum                  | 753.7     |
| Loss sum                    | -157.5    |
| Fee sum                     | -31.69    |
| Biggest pos size            | 46861.0   |
| Biggest pos cost            | 808.7     |
| Volume quote                | 316927.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.00692%  |
| Final balance               | 1035.28   |
| Final equity                | 1034.1    |
| Net PNL + fees              | 35.2826   |
| Total gain                  | 5.363%    |
| Average daily gain          | 0.0738%   |
| DG mean std ratio           | 0.01983   |
| Price action distance mean  | 0.0889011 |
| Price action distance std   | 0.130244  |
| Price action distance max   | 0.622918  |
| Closest bankruptcy          | 18.12%    |
| Lowest equity/balance ratio | 0.2312    |
| Equity/balance ratio std    | 0.1017    |
| No. fills                   | 17080     |
| No. entries                 | 13489     |
| No. closes                  | 3591      |
| No. initial entries         | 3277      |
| No. reentries               | 10210     |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 178       |
| No. normal closes           | 3413      |
| Average n fills per day     | 17.1      |
| Mean hours stuck            | 2.03452   |
| Max hours stuck             | 1192.98   |
| PNL sum                     | 53.63     |
| Profit sum                  | 464.7     |
| Loss sum                    | -411.1    |
| Fee sum                     | -18.35    |
| Biggest pos size            | 46308.0   |
| Biggest pos cost            | 612.0     |
| Volume quote                | 183480.0  |
+-----------------------------+-----------+
