+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 758.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.181%   |
| Final balance               | 3473.48  |
| Final equity                | 882.91   |
| Net PNL + fees              | 2473.48  |
| Total gain                  | 250.3%   |
| Average daily gain          | 0.0402%  |
| DG mean std ratio           | 0.01187  |
| Price action distance mean  | 0.98089  |
| Price action distance std   | 1.48349  |
| Price action distance max   | 5.50415  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.2255   |
| Equity/balance ratio std    | 0.2873   |
| No. fills                   | 4226     |
| No. entries                 | 2646     |
| No. closes                  | 1580     |
| No. initial entries         | 1381     |
| No. reentries               | 1265     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1580     |
| Average n fills per day     | 5.57     |
| Mean hours stuck            | 5.38887  |
| Max hours stuck             | 6724.22  |
| PNL sum                     | 2503.0   |
| Profit sum                  | 2503.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -29.05   |
| Biggest pos size            | 847.3    |
| Biggest pos cost            | 3179.0   |
| Volume quote                | 290458.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -19.8%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -935.175 |
| Total gain                  | -93.46%  |
| Average daily gain          | -0.605%  |
| DG mean std ratio           | -0.06714 |
| Price action distance mean  | 0.349573 |
| Price action distance std   | 0.286717 |
| Price action distance max   | 0.911694 |
| Closest bankruptcy          | 5.889%   |
| Lowest equity/balance ratio | 0.06558  |
| Equity/balance ratio std    | 0.08714  |
| No. fills                   | 1023     |
| No. entries                 | 642      |
| No. closes                  | 380      |
| No. initial entries         | 33       |
| No. reentries               | 609      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 380      |
| Average n fills per day     | 1.35     |
| Mean hours stuck            | 34.0993  |
| Max hours stuck             | 14314.4  |
| PNL sum                     | -934.6   |
| Profit sum                  | 69.62    |
| Loss sum                    | -1004.0  |
| Fee sum                     | -0.5845  |
| Biggest pos size            | 73.3     |
| Biggest pos cost            | 96.83    |
| Volume quote                | 5747.97  |
+-----------------------------+----------+
