+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 749.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.199%   |
| Final balance               | 3617.15  |
| Final equity                | 1318.19  |
| Net PNL + fees              | 2617.15  |
| Total gain                  | 270.1%   |
| Average daily gain          | 0.104%   |
| DG mean std ratio           | 0.02856  |
| Price action distance mean  | 0.584274 |
| Price action distance std   | 0.832124 |
| Price action distance max   | 3.41534  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3332   |
| Equity/balance ratio std    | 0.2382   |
| No. fills                   | 19116    |
| No. entries                 | 10922    |
| No. closes                  | 8194     |
| No. initial entries         | 7185     |
| No. reentries               | 3737     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 8194     |
| Average n fills per day     | 25.5     |
| Mean hours stuck            | 2.4457   |
| Max hours stuck             | 3848.17  |
| PNL sum                     | 2701.0   |
| Profit sum                  | 2701.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -84.08   |
| Biggest pos size            | 321.0    |
| Biggest pos cost            | 3118.0   |
| Volume quote                | 840757.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -13.4%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -933.957 |
| Total gain                  | -93.37%  |
| Average daily gain          | -0.612%  |
| DG mean std ratio           | -0.06553 |
| Price action distance mean  | 0.177655 |
| Price action distance std   | 0.245563 |
| Price action distance max   | 0.865509 |
| Closest bankruptcy          | 5.954%   |
| Lowest equity/balance ratio | 0.1204   |
| Equity/balance ratio std    | 0.04822  |
| No. fills                   | 656      |
| No. entries                 | 510      |
| No. closes                  | 145      |
| No. initial entries         | 67       |
| No. reentries               | 443      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 145      |
| Average n fills per day     | 0.875    |
| Mean hours stuck            | 33.9491  |
| Max hours stuck             | 14638.2  |
| PNL sum                     | -933.7   |
| Profit sum                  | 34.45    |
| Loss sum                    | -968.1   |
| Fee sum                     | -0.2709  |
| Biggest pos size            | 39.5     |
| Biggest pos cost            | 141.4    |
| Volume quote                | 2567.17  |
+-----------------------------+----------+
