+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.136%    |
| Final balance               | 1956.1    |
| Final equity                | 1916.25   |
| Net PNL + fees              | 956.101   |
| Total gain                  | 103.6%    |
| Average daily gain          | 0.0724%   |
| DG mean std ratio           | 0.0661    |
| Price action distance mean  | 0.0107574 |
| Price action distance std   | 0.0178345 |
| Price action distance max   | 1.01614   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7477    |
| Equity/balance ratio std    | 0.007049  |
| No. fills                   | 42856     |
| No. entries                 | 16525     |
| No. closes                  | 26331     |
| No. initial entries         | 8905      |
| No. reentries               | 3761      |
| No. unstuck entries         | 3859      |
| No. unstuck closes          | 14633     |
| No. normal closes           | 11698     |
| Average n fills per day     | 43.5      |
| Mean hours stuck            | 1.83964   |
| Max hours stuck             | 87.1333   |
| PNL sum                     | 1036.0    |
| Profit sum                  | 2586.0    |
| Loss sum                    | -1550.0   |
| Fee sum                     | -79.46    |
| Biggest pos size            | 17394.0   |
| Biggest pos cost            | 1003.0    |
| Volume quote                | 794595.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.78%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -919.727  |
| Total gain                  | -91.9%    |
| Average daily gain          | -0.466%   |
| DG mean std ratio           | -0.05679  |
| Price action distance mean  | 0.239675  |
| Price action distance std   | 0.211899  |
| Price action distance max   | 0.645072  |
| Closest bankruptcy          | 5.679%    |
| Lowest equity/balance ratio | 0.09023   |
| Equity/balance ratio std    | 0.1058    |
| No. fills                   | 452       |
| No. entries                 | 189       |
| No. closes                  | 262       |
| No. initial entries         | 114       |
| No. reentries               | 31        |
| No. unstuck entries         | 44        |
| No. unstuck closes          | 148       |
| No. normal closes           | 114       |
| Average n fills per day     | 0.459     |
| Mean hours stuck            | 92.0466   |
| Max hours stuck             | 19849.9   |
| PNL sum                     | -919.0    |
| Profit sum                  | 29.39     |
| Loss sum                    | -948.4    |
| Fee sum                     | -0.6792   |
| Biggest pos size            | 17471.0   |
| Biggest pos cost            | 514.9     |
| Volume quote                | 6293.36   |
+-----------------------------+-----------+
