+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0694%   |
| Final balance               | 1420.0    |
| Final equity                | 1416.9    |
| Net PNL + fees              | 419.996   |
| Total gain                  | 44.26%    |
| Average daily gain          | 0.0368%   |
| DG mean std ratio           | 0.05462   |
| Price action distance mean  | 0.0308024 |
| Price action distance std   | 0.0478299 |
| Price action distance max   | 0.762215  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.784     |
| Equity/balance ratio std    | 0.01163   |
| No. fills                   | 25019     |
| No. entries                 | 14731     |
| No. closes                  | 10288     |
| No. initial entries         | 9867      |
| No. reentries               | 4860      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 72        |
| No. normal closes           | 10216     |
| Average n fills per day     | 24.8      |
| Mean hours stuck            | 1.90479   |
| Max hours stuck             | 889.15    |
| PNL sum                     | 442.6     |
| Profit sum                  | 448.5     |
| Loss sum                    | -5.901    |
| Fee sum                     | -22.6     |
| Biggest pos size            | 2809.0    |
| Biggest pos cost            | 682.6     |
| Volume quote                | 225996.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0626%   |
| Final balance               | 1372.09   |
| Final equity                | 1372.07   |
| Net PNL + fees              | 372.085   |
| Total gain                  | 39.14%    |
| Average daily gain          | 0.0549%   |
| DG mean std ratio           | 0.02563   |
| Price action distance mean  | 0.0423716 |
| Price action distance std   | 0.0697586 |
| Price action distance max   | 0.570663  |
| Closest bankruptcy          | 35.79%    |
| Lowest equity/balance ratio | 0.3882    |
| Equity/balance ratio std    | 0.05638   |
| No. fills                   | 21916     |
| No. entries                 | 13659     |
| No. closes                  | 8257      |
| No. initial entries         | 7609      |
| No. reentries               | 6050      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 40        |
| No. normal closes           | 8217      |
| Average n fills per day     | 21.7      |
| Mean hours stuck            | 2.28482   |
| Max hours stuck             | 655.017   |
| PNL sum                     | 391.4     |
| Profit sum                  | 408.1     |
| Loss sum                    | -16.73    |
| Fee sum                     | -19.33    |
| Biggest pos size            | 1871.0    |
| Biggest pos cost            | 683.4     |
| Volume quote                | 193280.0  |
+-----------------------------+-----------+
