+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0385%   |
| Final balance               | 1155.37   |
| Final equity                | 1155.23   |
| Net PNL + fees              | 155.366   |
| Total gain                  | 27.04%    |
| Average daily gain          | 0.0285%   |
| DG mean std ratio           | 0.02133   |
| Price action distance mean  | 0.0188365 |
| Price action distance std   | 0.0442862 |
| Price action distance max   | 1.03329   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7458    |
| Equity/balance ratio std    | 0.01618   |
| No. fills                   | 43770     |
| No. entries                 | 21771     |
| No. closes                  | 21999     |
| No. initial entries         | 17815     |
| No. reentries               | 3490      |
| No. unstuck entries         | 466       |
| No. unstuck closes          | 254       |
| No. normal closes           | 21745     |
| Average n fills per day     | 58.4      |
| Mean hours stuck            | 2.02647   |
| Max hours stuck             | 111.35    |
| PNL sum                     | 270.4     |
| Profit sum                  | 2322.0    |
| Loss sum                    | -2052.0   |
| Fee sum                     | -115.0    |
| Biggest pos size            | 190.0     |
| Biggest pos cost            | 991.9     |
| Volume quote                | 1150340.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0396%   |
| Final balance               | 1159.99   |
| Final equity                | 1159.97   |
| Net PNL + fees              | 159.985   |
| Total gain                  | 17.21%    |
| Average daily gain          | 0.0298%   |
| DG mean std ratio           | 0.02148   |
| Price action distance mean  | 0.0293403 |
| Price action distance std   | 0.030295  |
| Price action distance max   | 0.367638  |
| Closest bankruptcy          | 90.06%    |
| Lowest equity/balance ratio | 0.7107    |
| Equity/balance ratio std    | 0.0169    |
| No. fills                   | 14614     |
| No. entries                 | 7766      |
| No. closes                  | 6848      |
| No. initial entries         | 6419      |
| No. reentries               | 1310      |
| No. unstuck entries         | 37        |
| No. unstuck closes          | 137       |
| No. normal closes           | 6711      |
| Average n fills per day     | 19.5      |
| Mean hours stuck            | 4.23564   |
| Max hours stuck             | 161.667   |
| PNL sum                     | 172.1     |
| Profit sum                  | 290.8     |
| Loss sum                    | -118.7    |
| Fee sum                     | -12.1     |
| Biggest pos size            | 76.8      |
| Biggest pos cost            | 548.3     |
| Volume quote                | 121027.0  |
+-----------------------------+-----------+
