+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.121%    |
| Final balance               | 1575.83   |
| Final equity                | 1575.65   |
| Net PNL + fees              | 575.833   |
| Total gain                  | 59.88%    |
| Average daily gain          | 0.0625%   |
| DG mean std ratio           | 0.1014    |
| Price action distance mean  | 0.0220768 |
| Price action distance std   | 0.0293921 |
| Price action distance max   | 0.297678  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8855    |
| Equity/balance ratio std    | 0.01032   |
| No. fills                   | 13603     |
| No. entries                 | 7425      |
| No. closes                  | 6178      |
| No. initial entries         | 6062      |
| No. reentries               | 1351      |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 46        |
| No. normal closes           | 6132      |
| Average n fills per day     | 18.1      |
| Mean hours stuck            | 2.58855   |
| Max hours stuck             | 183.633   |
| PNL sum                     | 598.8     |
| Profit sum                  | 744.5     |
| Loss sum                    | -145.7    |
| Fee sum                     | -22.96    |
| Biggest pos size            | 87.7      |
| Biggest pos cost            | 804.8     |
| Volume quote                | 229569.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.65%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -897.877  |
| Total gain                  | -88.89%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.05921  |
| Price action distance mean  | 0.0431704 |
| Price action distance std   | 0.0819288 |
| Price action distance max   | 0.646491  |
| Closest bankruptcy          | 5.934%    |
| Lowest equity/balance ratio | 0.08701   |
| Equity/balance ratio std    | 0.04789   |
| No. fills                   | 6320      |
| No. entries                 | 3353      |
| No. closes                  | 2966      |
| No. initial entries         | 2860      |
| No. reentries               | 481       |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 80        |
| No. normal closes           | 2886      |
| Average n fills per day     | 8.43      |
| Mean hours stuck            | 6.53815   |
| Max hours stuck             | 10050.7   |
| PNL sum                     | -888.9    |
| Profit sum                  | 267.7     |
| Loss sum                    | -1157.0   |
| Fee sum                     | -9.006    |
| Biggest pos size            | 152.2     |
| Biggest pos cost            | 624.6     |
| Volume quote                | 89450.8   |
+-----------------------------+-----------+
