+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.104%    |
| Final balance               | 2015.15   |
| Final equity                | 2014.86   |
| Net PNL + fees              | 1015.15   |
| Total gain                  | 108.3%    |
| Average daily gain          | 0.0826%   |
| DG mean std ratio           | 0.0517    |
| Price action distance mean  | 0.0207897 |
| Price action distance std   | 0.052114  |
| Price action distance max   | 0.940391  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6769    |
| Equity/balance ratio std    | 0.02431   |
| No. fills                   | 40577     |
| No. entries                 | 27362     |
| No. closes                  | 13215     |
| No. initial entries         | 11410     |
| No. reentries               | 15923     |
| No. unstuck entries         | 29        |
| No. unstuck closes          | 348       |
| No. normal closes           | 12867     |
| Average n fills per day     | 40.1      |
| Mean hours stuck            | 1.07312   |
| Max hours stuck             | 192.767   |
| PNL sum                     | 1083.0    |
| Profit sum                  | 1589.0    |
| Loss sum                    | -505.5    |
| Fee sum                     | -68.06    |
| Biggest pos size            | 4103.0    |
| Biggest pos cost            | 1255.0    |
| Volume quote                | 680571.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.011%   |
| Final balance               | 963.72    |
| Final equity                | 963.709   |
| Net PNL + fees              | -36.2803  |
| Total gain                  | -2.397%   |
| Average daily gain          | 0.00559%  |
| DG mean std ratio           | 0.004178  |
| Price action distance mean  | 0.0405527 |
| Price action distance std   | 0.0815563 |
| Price action distance max   | 0.569107  |
| Closest bankruptcy          | 71.77%    |
| Lowest equity/balance ratio | 0.5595    |
| Equity/balance ratio std    | 0.03109   |
| No. fills                   | 21220     |
| No. entries                 | 12426     |
| No. closes                  | 8794      |
| No. initial entries         | 7922      |
| No. reentries               | 4500      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 28        |
| No. normal closes           | 8766      |
| Average n fills per day     | 21.0      |
| Mean hours stuck            | 2.91289   |
| Max hours stuck             | 647.45    |
| PNL sum                     | -23.97    |
| Profit sum                  | 293.6     |
| Loss sum                    | -317.6    |
| Fee sum                     | -12.31    |
| Biggest pos size            | 2000.0    |
| Biggest pos cost            | 353.2     |
| Volume quote                | 123101.0  |
+-----------------------------+-----------+
