+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.34%     |
| Final balance               | 4058.6    |
| Final equity                | 3601.47   |
| Net PNL + fees              | 3058.6    |
| Total gain                  | 314.8%    |
| Average daily gain          | 0.163%    |
| DG mean std ratio           | 0.1227    |
| Price action distance mean  | 0.0583775 |
| Price action distance std   | 0.088522  |
| Price action distance max   | 0.594347  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8136    |
| Equity/balance ratio std    | 0.03706   |
| No. fills                   | 24574     |
| No. entries                 | 13757     |
| No. closes                  | 10817     |
| No. initial entries         | 10534     |
| No. reentries               | 3223      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10817     |
| Average n fills per day     | 29.8      |
| Mean hours stuck            | 1.92707   |
| Max hours stuck             | 1919.07   |
| PNL sum                     | 3148.0    |
| Profit sum                  | 3148.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -89.87    |
| Biggest pos size            | 163842.0  |
| Biggest pos cost            | 2029.0    |
| Volume quote                | 898722.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.32%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -944.508  |
| Total gain                  | -94.4%    |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.03311  |
| Price action distance mean  | 0.0798883 |
| Price action distance std   | 0.149005  |
| Price action distance max   | 0.680894  |
| Closest bankruptcy          | 5.947%    |
| Lowest equity/balance ratio | 0.09903   |
| Equity/balance ratio std    | 0.06604   |
| No. fills                   | 264       |
| No. entries                 | 183       |
| No. closes                  | 80        |
| No. initial entries         | 79        |
| No. reentries               | 104       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 2         |
| No. normal closes           | 78        |
| Average n fills per day     | 0.32      |
| Mean hours stuck            | 106.403   |
| Max hours stuck             | 14937.2   |
| PNL sum                     | -944.0    |
| Profit sum                  | 51.31     |
| Loss sum                    | -995.3    |
| Fee sum                     | -0.5459   |
| Biggest pos size            | 121477.0  |
| Biggest pos cost            | 525.0     |
| Volume quote                | 5164.92   |
+-----------------------------+-----------+
