+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0726%   |
| Final balance               | 1425.03   |
| Final equity                | 1418.46   |
| Net PNL + fees              | 425.032   |
| Total gain                  | 46.41%    |
| Average daily gain          | 0.0446%   |
| DG mean std ratio           | 0.03466   |
| Price action distance mean  | 0.0189438 |
| Price action distance std   | 0.0507226 |
| Price action distance max   | 1.96497   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6682    |
| Equity/balance ratio std    | 0.01698   |
| No. fills                   | 13069     |
| No. entries                 | 6105      |
| No. closes                  | 6964      |
| No. initial entries         | 4231      |
| No. reentries               | 1494      |
| No. unstuck entries         | 380       |
| No. unstuck closes          | 1434      |
| No. normal closes           | 5530      |
| Average n fills per day     | 13.4      |
| Mean hours stuck            | 3.56679   |
| Max hours stuck             | 129.983   |
| PNL sum                     | 464.1     |
| Profit sum                  | 1197.0    |
| Loss sum                    | -733.1    |
| Fee sum                     | -39.04    |
| Biggest pos size            | 35.35     |
| Biggest pos cost            | 780.7     |
| Volume quote                | 390435.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.182  |
| Total gain                  | -91.45%   |
| Average daily gain          | -0.471%   |
| DG mean std ratio           | -0.05618  |
| Price action distance mean  | 0.0839902 |
| Price action distance std   | 0.0793296 |
| Price action distance max   | 0.643564  |
| Closest bankruptcy          | 5.989%    |
| Lowest equity/balance ratio | 0.09372   |
| Equity/balance ratio std    | 0.03827   |
| No. fills                   | 874       |
| No. entries                 | 450       |
| No. closes                  | 423       |
| No. initial entries         | 402       |
| No. reentries               | 43        |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 19        |
| No. normal closes           | 404       |
| Average n fills per day     | 0.896     |
| Mean hours stuck            | 49.8212   |
| Max hours stuck             | 14420.4   |
| PNL sum                     | -914.5    |
| Profit sum                  | 60.97     |
| Loss sum                    | -975.5    |
| Fee sum                     | -1.683    |
| Biggest pos size            | 10.85     |
| Biggest pos cost            | 531.0     |
| Volume quote                | 16334.9   |
+-----------------------------+-----------+
