+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.193%    |
| Final balance               | 2058.51   |
| Final equity                | 2058.24   |
| Net PNL + fees              | 1058.51   |
| Total gain                  | 118.4%    |
| Average daily gain          | 0.104%    |
| DG mean std ratio           | 0.07982   |
| Price action distance mean  | 0.0138588 |
| Price action distance std   | 0.0216168 |
| Price action distance max   | 0.793158  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7785    |
| Equity/balance ratio std    | 0.009453  |
| No. fills                   | 30440     |
| No. entries                 | 15132     |
| No. closes                  | 15308     |
| No. initial entries         | 9531      |
| No. reentries               | 3629      |
| No. unstuck entries         | 1972      |
| No. unstuck closes          | 4549      |
| No. normal closes           | 10759     |
| Average n fills per day     | 40.6      |
| Mean hours stuck            | 1.54659   |
| Max hours stuck             | 57.3667   |
| PNL sum                     | 1184.0    |
| Profit sum                  | 3977.0    |
| Loss sum                    | -2793.0   |
| Fee sum                     | -125.1    |
| Biggest pos size            | 183.6     |
| Biggest pos cost            | 1250.0    |
| Volume quote                | 1250560.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.65%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -913.843  |
| Total gain                  | -91.29%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.06471  |
| Price action distance mean  | 0.0622031 |
| Price action distance std   | 0.107391  |
| Price action distance max   | 0.645957  |
| Closest bankruptcy          | 5.993%    |
| Lowest equity/balance ratio | 0.08612   |
| Equity/balance ratio std    | 0.03958   |
| No. fills                   | 836       |
| No. entries                 | 440       |
| No. closes                  | 395       |
| No. initial entries         | 370       |
| No. reentries               | 65        |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 26        |
| No. normal closes           | 369       |
| Average n fills per day     | 1.12      |
| Mean hours stuck            | 34.6019   |
| Max hours stuck             | 15211.7   |
| PNL sum                     | -912.9    |
| Profit sum                  | 33.92     |
| Loss sum                    | -946.8    |
| Fee sum                     | -0.9222   |
| Biggest pos size            | 108.7     |
| Biggest pos cost            | 517.3     |
| Volume quote                | 8712.99   |
+-----------------------------+-----------+
