+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.299%    |
| Final balance               | 3101.97   |
| Final equity                | 3101.66   |
| Net PNL + fees              | 2101.97   |
| Total gain                  | 224.9%    |
| Average daily gain          | 0.155%    |
| DG mean std ratio           | 0.1477    |
| Price action distance mean  | 0.0128291 |
| Price action distance std   | 0.0176898 |
| Price action distance max   | 0.45296   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8435    |
| Equity/balance ratio std    | 0.007892  |
| No. fills                   | 30205     |
| No. entries                 | 14610     |
| No. closes                  | 15595     |
| No. initial entries         | 9116      |
| No. reentries               | 3547      |
| No. unstuck entries         | 1947      |
| No. unstuck closes          | 5388      |
| No. normal closes           | 10207     |
| Average n fills per day     | 39.8      |
| Mean hours stuck            | 1.59128   |
| Max hours stuck             | 81.45     |
| PNL sum                     | 2249.0    |
| Profit sum                  | 4755.0    |
| Loss sum                    | -2506.0   |
| Fee sum                     | -146.8    |
| Biggest pos size            | 408.6     |
| Biggest pos cost            | 1778.0    |
| Volume quote                | 1467980.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.102%    |
| Final balance               | 1473.8    |
| Final equity                | 1473.72   |
| Net PNL + fees              | 473.797   |
| Total gain                  | 48.82%    |
| Average daily gain          | 0.0526%   |
| DG mean std ratio           | 0.0959    |
| Price action distance mean  | 0.0276124 |
| Price action distance std   | 0.0294179 |
| Price action distance max   | 0.248762  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8509    |
| Equity/balance ratio std    | 0.007179  |
| No. fills                   | 9344      |
| No. entries                 | 4949      |
| No. closes                  | 4395      |
| No. initial entries         | 4272      |
| No. reentries               | 665       |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 19        |
| No. normal closes           | 4376      |
| Average n fills per day     | 12.3      |
| Mean hours stuck            | 3.61936   |
| Max hours stuck             | 192.65    |
| PNL sum                     | 488.2     |
| Profit sum                  | 490.7     |
| Loss sum                    | -2.464    |
| Fee sum                     | -14.44    |
| Biggest pos size            | 266.2     |
| Biggest pos cost            | 652.1     |
| Volume quote                | 144385.0  |
+-----------------------------+-----------+
