+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.195%    |
| Final balance               | 2237.5    |
| Final equity                | 1703.64   |
| Net PNL + fees              | 1237.5    |
| Total gain                  | 130.1%    |
| Average daily gain          | 0.0716%   |
| DG mean std ratio           | 0.05872   |
| Price action distance mean  | 0.190073  |
| Price action distance std   | 0.298895  |
| Price action distance max   | 1.4326    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7196    |
| Equity/balance ratio std    | 0.07831   |
| No. fills                   | 45135     |
| No. entries                 | 34903     |
| No. closes                  | 10232     |
| No. initial entries         | 9975      |
| No. reentries               | 24927     |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 189       |
| No. normal closes           | 10043     |
| Average n fills per day     | 54.7      |
| Mean hours stuck            | 1.03602   |
| Max hours stuck             | 2776.52   |
| PNL sum                     | 1301.0    |
| Profit sum                  | 1341.0    |
| Loss sum                    | -39.88    |
| Fee sum                     | -63.14    |
| Biggest pos size            | 126326.0  |
| Biggest pos cost            | 1128.0    |
| Volume quote                | 631366.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.32%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -919.377  |
| Total gain                  | -91.88%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.02991  |
| Price action distance mean  | 0.0664136 |
| Price action distance std   | 0.119867  |
| Price action distance max   | 0.643954  |
| Closest bankruptcy          | 5.467%    |
| Lowest equity/balance ratio | 0.09606   |
| Equity/balance ratio std    | 0.04881   |
| No. fills                   | 315       |
| No. entries                 | 180       |
| No. closes                  | 134       |
| No. initial entries         | 80        |
| No. reentries               | 100       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 54        |
| No. normal closes           | 80        |
| Average n fills per day     | 0.382     |
| Mean hours stuck            | 75.8276   |
| Max hours stuck             | 14937.1   |
| PNL sum                     | -918.8    |
| Profit sum                  | 38.35     |
| Loss sum                    | -957.2    |
| Fee sum                     | -0.5447   |
| Biggest pos size            | 150271.0  |
| Biggest pos cost            | 518.9     |
| Volume quote                | 4928.36   |
+-----------------------------+-----------+
