+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.132%    |
| Final balance               | 1918.15   |
| Final equity                | 1915.53   |
| Net PNL + fees              | 918.151   |
| Total gain                  | 100.5%    |
| Average daily gain          | 0.0709%   |
| DG mean std ratio           | 0.07288   |
| Price action distance mean  | 0.0222418 |
| Price action distance std   | 0.0364532 |
| Price action distance max   | 0.917721  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7607    |
| Equity/balance ratio std    | 0.01125   |
| No. fills                   | 55276     |
| No. entries                 | 28274     |
| No. closes                  | 27002     |
| No. initial entries         | 22202     |
| No. reentries               | 5983      |
| No. unstuck entries         | 89        |
| No. unstuck closes          | 3085      |
| No. normal closes           | 23917     |
| Average n fills per day     | 56.1      |
| Mean hours stuck            | 1.6454    |
| Max hours stuck             | 522.833   |
| PNL sum                     | 1005.0    |
| Profit sum                  | 1446.0    |
| Loss sum                    | -441.3    |
| Fee sum                     | -86.35    |
| Biggest pos size            | 15194.0   |
| Biggest pos cost            | 967.1     |
| Volume quote                | 863511.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.78%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -914.089  |
| Total gain                  | -91.31%   |
| Average daily gain          | -0.466%   |
| DG mean std ratio           | -0.0222   |
| Price action distance mean  | 0.265914  |
| Price action distance std   | 0.196782  |
| Price action distance max   | 0.645586  |
| Closest bankruptcy          | 5.946%    |
| Lowest equity/balance ratio | 0.09324   |
| Equity/balance ratio std    | 0.1668    |
| No. fills                   | 1084      |
| No. entries                 | 549       |
| No. closes                  | 534       |
| No. initial entries         | 442       |
| No. reentries               | 107       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 90        |
| No. normal closes           | 444       |
| Average n fills per day     | 1.1       |
| Mean hours stuck            | 32.0108   |
| Max hours stuck             | 15671.6   |
| PNL sum                     | -913.1    |
| Profit sum                  | 24.13     |
| Loss sum                    | -937.2    |
| Fee sum                     | -1.023    |
| Biggest pos size            | 11351.0   |
| Biggest pos cost            | 511.5     |
| Volume quote                | 9721.9    |
+-----------------------------+-----------+
