+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0148%  |
| Final balance               | 904.248   |
| Final equity                | 903.849   |
| Net PNL + fees              | -95.752   |
| Total gain                  | 15.9%     |
| Average daily gain          | 0.0264%   |
| DG mean std ratio           | 0.009416  |
| Price action distance mean  | 0.01727   |
| Price action distance std   | 0.0365771 |
| Price action distance max   | 1.02184   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5417    |
| Equity/balance ratio std    | 0.02649   |
| No. fills                   | 54742     |
| No. entries                 | 29594     |
| No. closes                  | 25148     |
| No. initial entries         | 20328     |
| No. reentries               | 8797      |
| No. unstuck entries         | 469       |
| No. unstuck closes          | 3590      |
| No. normal closes           | 21558     |
| Average n fills per day     | 73.0      |
| Mean hours stuck            | 0.85685   |
| Max hours stuck             | 83.0667   |
| PNL sum                     | 159.0     |
| Profit sum                  | 5369.0    |
| Loss sum                    | -5210.0   |
| Fee sum                     | -254.8    |
| Biggest pos size            | 371.4     |
| Biggest pos cost            | 2240.0    |
| Volume quote                | 2547610.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.1%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -939.099  |
| Total gain                  | -93.86%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.05728  |
| Price action distance mean  | 0.148091  |
| Price action distance std   | 0.246767  |
| Price action distance max   | 0.907357  |
| Closest bankruptcy          | 5.844%    |
| Lowest equity/balance ratio | 0.1157    |
| Equity/balance ratio std    | 0.03982   |
| No. fills                   | 3644      |
| No. entries                 | 2214      |
| No. closes                  | 1429      |
| No. initial entries         | 1430      |
| No. reentries               | 784       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1429      |
| Average n fills per day     | 4.86      |
| Mean hours stuck            | 13.8408   |
| Max hours stuck             | 14628.0   |
| PNL sum                     | -938.6    |
| Profit sum                  | 12.4      |
| Loss sum                    | -951.0    |
| Fee sum                     | -0.5303   |
| Biggest pos size            | 27.0      |
| Biggest pos cost            | 93.02     |
| Volume quote                | 5211.79   |
+-----------------------------+-----------+
