+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0748%   |
| Final balance               | 1445.95   |
| Final equity                | 1442.42   |
| Net PNL + fees              | 445.952   |
| Total gain                  | 44.93%    |
| Average daily gain          | 0.0407%   |
| DG mean std ratio           | 0.04939   |
| Price action distance mean  | 0.0246625 |
| Price action distance std   | 0.0242579 |
| Price action distance max   | 0.97358   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7533    |
| Equity/balance ratio std    | 0.005767  |
| No. fills                   | 9701      |
| No. entries                 | 1291      |
| No. closes                  | 8410      |
| No. initial entries         | 526       |
| No. reentries               | 601       |
| No. unstuck entries         | 164       |
| No. unstuck closes          | 1134      |
| No. normal closes           | 7276      |
| Average n fills per day     | 9.84      |
| Mean hours stuck            | 4.65303   |
| Max hours stuck             | 374.617   |
| PNL sum                     | 449.3     |
| Profit sum                  | 663.0     |
| Loss sum                    | -213.7    |
| Fee sum                     | -3.381    |
| Biggest pos size            | 16778.0   |
| Biggest pos cost            | 722.1     |
| Volume quote                | 33808.9   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.137%   |
| Final balance               | 507.976   |
| Final equity                | 507.994   |
| Net PNL + fees              | -492.024  |
| Total gain                  | -47.9%    |
| Average daily gain          | -0.0564%  |
| DG mean std ratio           | -0.03665  |
| Price action distance mean  | 0.0256583 |
| Price action distance std   | 0.0332781 |
| Price action distance max   | 0.336297  |
| Closest bankruptcy          | 98.2%     |
| Lowest equity/balance ratio | 0.7464    |
| Equity/balance ratio std    | 0.01613   |
| No. fills                   | 18468     |
| No. entries                 | 4517      |
| No. closes                  | 13951     |
| No. initial entries         | 2908      |
| No. reentries               | 951       |
| No. unstuck entries         | 658       |
| No. unstuck closes          | 5540      |
| No. normal closes           | 8411      |
| Average n fills per day     | 18.7      |
| Mean hours stuck            | 3.95717   |
| Max hours stuck             | 634.567   |
| PNL sum                     | -479.0    |
| Profit sum                  | 933.1     |
| Loss sum                    | -1412.0   |
| Fee sum                     | -13.03    |
| Biggest pos size            | 20425.0   |
| Biggest pos cost            | 521.2     |
| Volume quote                | 130337.0  |
+-----------------------------+-----------+
