+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.231%    |
| Final balance               | 4531.9    |
| Final equity                | 4518.65   |
| Net PNL + fees              | 3531.9    |
| Total gain                  | 372.8%    |
| Average daily gain          | 0.228%    |
| DG mean std ratio           | 0.1163    |
| Price action distance mean  | 0.0238786 |
| Price action distance std   | 0.0381996 |
| Price action distance max   | 0.473517  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7078    |
| Equity/balance ratio std    | 0.02614   |
| No. fills                   | 44214     |
| No. entries                 | 25016     |
| No. closes                  | 19198     |
| No. initial entries         | 15684     |
| No. reentries               | 9252      |
| No. unstuck entries         | 80        |
| No. unstuck closes          | 3239      |
| No. normal closes           | 15959     |
| Average n fills per day     | 61.3      |
| Mean hours stuck            | 0.930345  |
| Max hours stuck             | 320.967   |
| PNL sum                     | 3728.0    |
| Profit sum                  | 4886.0    |
| Loss sum                    | -1158.0   |
| Fee sum                     | -195.7    |
| Biggest pos size            | 64933.0   |
| Biggest pos cost            | 4174.0    |
| Volume quote                | 1956580.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.9%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -937.836  |
| Total gain                  | -93.76%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.07099  |
| Price action distance mean  | 0.275813  |
| Price action distance std   | 0.296121  |
| Price action distance max   | 0.911072  |
| Closest bankruptcy          | 5.974%    |
| Lowest equity/balance ratio | 0.06892   |
| Equity/balance ratio std    | 0.08486   |
| No. fills                   | 1177      |
| No. entries                 | 1008      |
| No. closes                  | 168       |
| No. initial entries         | 169       |
| No. reentries               | 839       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 168       |
| Average n fills per day     | 1.63      |
| Mean hours stuck            | 22.7892   |
| Max hours stuck             | 14225.9   |
| PNL sum                     | -937.6    |
| Profit sum                  | 11.24     |
| Loss sum                    | -948.8    |
| Fee sum                     | -0.2392   |
| Biggest pos size            | 5907.0    |
| Biggest pos cost            | 91.88     |
| Volume quote                | 2299.99   |
+-----------------------------+-----------+
