+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0113%   |
| Final balance               | 1043.43   |
| Final equity                | 1037.16   |
| Net PNL + fees              | 43.4319   |
| Total gain                  | 10.16%    |
| Average daily gain          | 0.016%    |
| DG mean std ratio           | 0.01081   |
| Price action distance mean  | 0.0441849 |
| Price action distance std   | 0.0841693 |
| Price action distance max   | 1.29682   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.718     |
| Equity/balance ratio std    | 0.0291    |
| No. fills                   | 38206     |
| No. entries                 | 20062     |
| No. closes                  | 18144     |
| No. initial entries         | 16892     |
| No. reentries               | 3061      |
| No. unstuck entries         | 109       |
| No. unstuck closes          | 460       |
| No. normal closes           | 17684     |
| Average n fills per day     | 51.0      |
| Mean hours stuck            | 1.92706   |
| Max hours stuck             | 361.533   |
| PNL sum                     | 101.6     |
| Profit sum                  | 1002.0    |
| Loss sum                    | -900.0    |
| Fee sum                     | -58.14    |
| Biggest pos size            | 147.4     |
| Biggest pos cost            | 772.6     |
| Volume quote                | 581441.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0728%   |
| Final balance               | 1313.73   |
| Final equity                | 1313.69   |
| Net PNL + fees              | 313.727   |
| Total gain                  | 33.56%    |
| Average daily gain          | 0.0769%   |
| DG mean std ratio           | 0.02958   |
| Price action distance mean  | 0.0342193 |
| Price action distance std   | 0.0499262 |
| Price action distance max   | 0.559237  |
| Closest bankruptcy          | 31.75%    |
| Lowest equity/balance ratio | 0.3634    |
| Equity/balance ratio std    | 0.03797   |
| No. fills                   | 26892     |
| No. entries                 | 15845     |
| No. closes                  | 11047     |
| No. initial entries         | 10702     |
| No. reentries               | 5137      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 22        |
| No. normal closes           | 11025     |
| Average n fills per day     | 35.9      |
| Mean hours stuck            | 1.93765   |
| Max hours stuck             | 114.967   |
| PNL sum                     | 335.6     |
| Profit sum                  | 396.9     |
| Loss sum                    | -61.31    |
| Fee sum                     | -21.91    |
| Biggest pos size            | 142.5     |
| Biggest pos cost            | 643.1     |
| Volume quote                | 219055.0  |
+-----------------------------+-----------+
