+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.176%    |
| Final balance               | 2062.71   |
| Final equity                | 2062.66   |
| Net PNL + fees              | 1062.71   |
| Total gain                  | 113.4%    |
| Average daily gain          | 0.093%    |
| DG mean std ratio           | 0.0919    |
| Price action distance mean  | 0.0248499 |
| Price action distance std   | 0.0396405 |
| Price action distance max   | 0.971198  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7536    |
| Equity/balance ratio std    | 0.01447   |
| No. fills                   | 35436     |
| No. entries                 | 16873     |
| No. closes                  | 18563     |
| No. initial entries         | 13779     |
| No. reentries               | 3058      |
| No. unstuck entries         | 36        |
| No. unstuck closes          | 4388      |
| No. normal closes           | 14175     |
| Average n fills per day     | 43.0      |
| Mean hours stuck            | 1.67238   |
| Max hours stuck             | 283.217   |
| PNL sum                     | 1134.0    |
| Profit sum                  | 1475.0    |
| Loss sum                    | -341.3    |
| Fee sum                     | -71.25    |
| Biggest pos size            | 87416.0   |
| Biggest pos cost            | 1112.0    |
| Volume quote                | 712462.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.32%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.026  |
| Total gain                  | -91.54%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.0294   |
| Price action distance mean  | 0.0631247 |
| Price action distance std   | 0.118063  |
| Price action distance max   | 0.644983  |
| Closest bankruptcy          | 5.927%    |
| Lowest equity/balance ratio | 0.09162   |
| Equity/balance ratio std    | 0.05182   |
| No. fills                   | 3677      |
| No. entries                 | 338       |
| No. closes                  | 3338      |
| No. initial entries         | 111       |
| No. reentries               | 223       |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 3228      |
| No. normal closes           | 110       |
| Average n fills per day     | 4.46      |
| Mean hours stuck            | 28.892    |
| Max hours stuck             | 14937.1   |
| PNL sum                     | -915.4    |
| Profit sum                  | 53.88     |
| Loss sum                    | -969.3    |
| Fee sum                     | -0.642    |
| Biggest pos size            | 153907.0  |
| Biggest pos cost            | 526.6     |
| Volume quote                | 5919.04   |
+-----------------------------+-----------+
