+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.143%    |
| Final balance               | 1746.8    |
| Final equity                | 1675.46   |
| Net PNL + fees              | 746.797   |
| Total gain                  | 80.89%    |
| Average daily gain          | 0.0705%   |
| DG mean std ratio           | 0.07462   |
| Price action distance mean  | 0.0252594 |
| Price action distance std   | 0.0420858 |
| Price action distance max   | 0.767362  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.783     |
| Equity/balance ratio std    | 0.01412   |
| No. fills                   | 36482     |
| No. entries                 | 19233     |
| No. closes                  | 17249     |
| No. initial entries         | 16245     |
| No. reentries               | 2948      |
| No. unstuck entries         | 40        |
| No. unstuck closes          | 371       |
| No. normal closes           | 16878     |
| Average n fills per day     | 46.7      |
| Mean hours stuck            | 2.25954   |
| Max hours stuck             | 739.883   |
| PNL sum                     | 808.9     |
| Profit sum                  | 1092.0    |
| Loss sum                    | -282.8    |
| Fee sum                     | -62.1     |
| Biggest pos size            | 130.0     |
| Biggest pos cost            | 908.8     |
| Volume quote                | 620969.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.5%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -920.739  |
| Total gain                  | -91.86%   |
| Average daily gain          | -0.587%   |
| DG mean std ratio           | -0.06394  |
| Price action distance mean  | 0.111786  |
| Price action distance std   | 0.164322  |
| Price action distance max   | 0.644394  |
| Closest bankruptcy          | 5.968%    |
| Lowest equity/balance ratio | 0.09254   |
| Equity/balance ratio std    | 0.09139   |
| No. fills                   | 2920      |
| No. entries                 | 1757      |
| No. closes                  | 1162      |
| No. initial entries         | 1098      |
| No. reentries               | 654       |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 59        |
| No. normal closes           | 1103      |
| Average n fills per day     | 3.74      |
| Mean hours stuck            | 15.3905   |
| Max hours stuck             | 14468.8   |
| PNL sum                     | -918.6    |
| Profit sum                  | 41.59     |
| Loss sum                    | -960.2    |
| Fee sum                     | -2.127    |
| Biggest pos size            | 98.1      |
| Biggest pos cost            | 519.1     |
| Volume quote                | 20800.6   |
+-----------------------------+-----------+
