+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0839%   |
| Final balance               | 1353.0    |
| Final equity                | 1352.15   |
| Net PNL + fees              | 353.003   |
| Total gain                  | 37.45%    |
| Average daily gain          | 0.0428%   |
| DG mean std ratio           | 0.09829   |
| Price action distance mean  | 0.0187137 |
| Price action distance std   | 0.0149042 |
| Price action distance max   | 0.232502  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.906     |
| Equity/balance ratio std    | 0.003031  |
| No. fills                   | 21327     |
| No. entries                 | 11397     |
| No. closes                  | 9930      |
| No. initial entries         | 9542      |
| No. reentries               | 1838      |
| No. unstuck entries         | 17        |
| No. unstuck closes          | 286       |
| No. normal closes           | 9644      |
| Average n fills per day     | 29.6      |
| Mean hours stuck            | 1.81729   |
| Max hours stuck             | 118.55    |
| PNL sum                     | 374.5     |
| Profit sum                  | 532.1     |
| Loss sum                    | -157.6    |
| Fee sum                     | -21.48    |
| Biggest pos size            | 35559.0   |
| Biggest pos cost            | 694.5     |
| Volume quote                | 214840.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0139%   |
| Final balance               | 1051.41   |
| Final equity                | 1051.41   |
| Net PNL + fees              | 51.4123   |
| Total gain                  | 6.034%    |
| Average daily gain          | 0.00957%  |
| DG mean std ratio           | 0.01369   |
| Price action distance mean  | 0.023944  |
| Price action distance std   | 0.0233562 |
| Price action distance max   | 0.26666   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8182    |
| Equity/balance ratio std    | 0.009096  |
| No. fills                   | 9492      |
| No. entries                 | 5181      |
| No. closes                  | 4311      |
| No. initial entries         | 4152      |
| No. reentries               | 1014      |
| No. unstuck entries         | 15        |
| No. unstuck closes          | 148       |
| No. normal closes           | 4163      |
| Average n fills per day     | 13.2      |
| Mean hours stuck            | 2.76929   |
| Max hours stuck             | 128.617   |
| PNL sum                     | 60.34     |
| Profit sum                  | 248.7     |
| Loss sum                    | -188.4    |
| Fee sum                     | -8.928    |
| Biggest pos size            | 30880.0   |
| Biggest pos cost            | 602.6     |
| Volume quote                | 89281.8   |
+-----------------------------+-----------+
