+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0583%   |
| Final balance               | 1247.66   |
| Final equity                | 1246.07   |
| Net PNL + fees              | 247.66    |
| Total gain                  | 27.0%     |
| Average daily gain          | 0.0304%   |
| DG mean std ratio           | 0.05756   |
| Price action distance mean  | 0.0206308 |
| Price action distance std   | 0.0164965 |
| Price action distance max   | 0.369777  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.866     |
| Equity/balance ratio std    | 0.003749  |
| No. fills                   | 19143     |
| No. entries                 | 10303     |
| No. closes                  | 8840      |
| No. initial entries         | 8621      |
| No. reentries               | 1665      |
| No. unstuck entries         | 17        |
| No. unstuck closes          | 135       |
| No. normal closes           | 8705      |
| Average n fills per day     | 25.2      |
| Mean hours stuck            | 2.27102   |
| Max hours stuck             | 163.9     |
| PNL sum                     | 270.0     |
| Profit sum                  | 552.2     |
| Loss sum                    | -282.1    |
| Fee sum                     | -22.38    |
| Biggest pos size            | 272.9     |
| Biggest pos cost            | 686.5     |
| Volume quote                | 223822.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.0669%  |
| Final balance               | 775.848   |
| Final equity                | 775.843   |
| Net PNL + fees              | -224.152  |
| Total gain                  | -21.58%   |
| Average daily gain          | -0.0308%  |
| DG mean std ratio           | -0.04324  |
| Price action distance mean  | 0.029252  |
| Price action distance std   | 0.0288525 |
| Price action distance max   | 0.27643   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8067    |
| Equity/balance ratio std    | 0.01232   |
| No. fills                   | 8046      |
| No. entries                 | 4359      |
| No. closes                  | 3687      |
| No. initial entries         | 3498      |
| No. reentries               | 837       |
| No. unstuck entries         | 24        |
| No. unstuck closes          | 177       |
| No. normal closes           | 3510      |
| Average n fills per day     | 10.6      |
| Mean hours stuck            | 3.1384    |
| Max hours stuck             | 143.85    |
| PNL sum                     | -215.8    |
| Profit sum                  | 209.6     |
| Loss sum                    | -425.4    |
| Fee sum                     | -8.353    |
| Biggest pos size            | 222.6     |
| Biggest pos cost            | 521.8     |
| Volume quote                | 83533.4   |
+-----------------------------+-----------+
