+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0367%   |
| Final balance               | 1198.02   |
| Final equity                | 1192.1    |
| Net PNL + fees              | 198.023   |
| Total gain                  | 21.66%    |
| Average daily gain          | 0.023%    |
| DG mean std ratio           | 0.02329   |
| Price action distance mean  | 0.0189696 |
| Price action distance std   | 0.0352849 |
| Price action distance max   | 1.32613   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7146    |
| Equity/balance ratio std    | 0.01284   |
| No. fills                   | 20982     |
| No. entries                 | 10887     |
| No. closes                  | 10095     |
| No. initial entries         | 7097      |
| No. reentries               | 3229      |
| No. unstuck entries         | 561       |
| No. unstuck closes          | 2629      |
| No. normal closes           | 7466      |
| Average n fills per day     | 21.3      |
| Mean hours stuck            | 2.83102   |
| Max hours stuck             | 379.083   |
| PNL sum                     | 216.6     |
| Profit sum                  | 616.0     |
| Loss sum                    | -399.4    |
| Fee sum                     | -18.61    |
| Biggest pos size            | 15559.0   |
| Biggest pos cost            | 667.5     |
| Volume quote                | 186125.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.78%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -923.687  |
| Total gain                  | -92.15%   |
| Average daily gain          | -0.466%   |
| DG mean std ratio           | -0.06271  |
| Price action distance mean  | 0.200589  |
| Price action distance std   | 0.205662  |
| Price action distance max   | 0.640716  |
| Closest bankruptcy          | 5.971%    |
| Lowest equity/balance ratio | 0.1074    |
| Equity/balance ratio std    | 0.1052    |
| No. fills                   | 2580      |
| No. entries                 | 535       |
| No. closes                  | 2044      |
| No. initial entries         | 245       |
| No. reentries               | 74        |
| No. unstuck entries         | 216       |
| No. unstuck closes          | 1783      |
| No. normal closes           | 261       |
| Average n fills per day     | 2.62      |
| Mean hours stuck            | 36.2266   |
| Max hours stuck             | 19847.0   |
| PNL sum                     | -921.5    |
| Profit sum                  | 92.47     |
| Loss sum                    | -1014.0   |
| Fee sum                     | -2.231    |
| Biggest pos size            | 19227.0   |
| Biggest pos cost            | 544.8     |
| Volume quote                | 21860.0   |
+-----------------------------+-----------+
