+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0703%   |
| Final balance               | 1426.29   |
| Final equity                | 1426.21   |
| Net PNL + fees              | 426.29    |
| Total gain                  | 44.65%    |
| Average daily gain          | 0.0387%   |
| DG mean std ratio           | 0.04734   |
| Price action distance mean  | 0.0138445 |
| Price action distance std   | 0.021174  |
| Price action distance max   | 0.893705  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7637    |
| Equity/balance ratio std    | 0.007827  |
| No. fills                   | 18952     |
| No. entries                 | 10588     |
| No. closes                  | 8364      |
| No. initial entries         | 6961      |
| No. reentries               | 3451      |
| No. unstuck entries         | 176       |
| No. unstuck closes          | 837       |
| No. normal closes           | 7527      |
| Average n fills per day     | 18.8      |
| Mean hours stuck            | 3.20122   |
| Max hours stuck             | 192.767   |
| PNL sum                     | 446.5     |
| Profit sum                  | 663.1     |
| Loss sum                    | -216.6    |
| Fee sum                     | -20.18    |
| Biggest pos size            | 2986.0    |
| Biggest pos cost            | 645.3     |
| Volume quote                | 201838.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.72%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -911.139  |
| Total gain                  | -89.81%   |
| Average daily gain          | -0.455%   |
| DG mean std ratio           | -0.03985  |
| Price action distance mean  | 0.0504814 |
| Price action distance std   | 0.108293  |
| Price action distance max   | 0.645612  |
| Closest bankruptcy          | 5.929%    |
| Lowest equity/balance ratio | 0.0864    |
| Equity/balance ratio std    | 0.06703   |
| No. fills                   | 5108      |
| No. entries                 | 2270      |
| No. closes                  | 2837      |
| No. initial entries         | 1684      |
| No. reentries               | 442       |
| No. unstuck entries         | 144       |
| No. unstuck closes          | 493       |
| No. normal closes           | 2344      |
| Average n fills per day     | 5.05      |
| Mean hours stuck            | 8.50478   |
| Max hours stuck             | 13119.8   |
| PNL sum                     | -898.1    |
| Profit sum                  | 452.4     |
| Loss sum                    | -1351.0   |
| Fee sum                     | -12.99    |
| Biggest pos size            | 3395.0    |
| Biggest pos cost            | 598.2     |
| Volume quote                | 129410.0  |
+-----------------------------+-----------+
