+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.286%    |
| Final balance               | 2954.45   |
| Final equity                | 2953.95   |
| Net PNL + fees              | 1954.45   |
| Total gain                  | 209.1%    |
| Average daily gain          | 0.146%    |
| DG mean std ratio           | 0.196     |
| Price action distance mean  | 0.0138681 |
| Price action distance std   | 0.0113164 |
| Price action distance max   | 0.303295  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8834    |
| Equity/balance ratio std    | 0.003944  |
| No. fills                   | 30413     |
| No. entries                 | 13639     |
| No. closes                  | 16774     |
| No. initial entries         | 9384      |
| No. reentries               | 2826      |
| No. unstuck entries         | 1429      |
| No. unstuck closes          | 4695      |
| No. normal closes           | 12079     |
| Average n fills per day     | 40.1      |
| Mean hours stuck            | 1.96091   |
| Max hours stuck             | 76.45     |
| PNL sum                     | 2091.0    |
| Profit sum                  | 3895.0    |
| Loss sum                    | -1804.0   |
| Fee sum                     | -136.3    |
| Biggest pos size            | 401.8     |
| Biggest pos cost            | 1525.0    |
| Volume quote                | 1362770.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.61%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -908.779  |
| Total gain                  | -90.01%   |
| Average daily gain          | -0.605%   |
| DG mean std ratio           | -0.06425  |
| Price action distance mean  | 0.066399  |
| Price action distance std   | 0.100091  |
| Price action distance max   | 0.643181  |
| Closest bankruptcy          | 5.937%    |
| Lowest equity/balance ratio | 0.09079   |
| Equity/balance ratio std    | 0.0682    |
| No. fills                   | 7344      |
| No. entries                 | 3990      |
| No. closes                  | 3353      |
| No. initial entries         | 3215      |
| No. reentries               | 753       |
| No. unstuck entries         | 22        |
| No. unstuck closes          | 86        |
| No. normal closes           | 3267      |
| Average n fills per day     | 9.68      |
| Mean hours stuck            | 8.29566   |
| Max hours stuck             | 9622.55   |
| PNL sum                     | -900.1    |
| Profit sum                  | 229.3     |
| Loss sum                    | -1129.0   |
| Fee sum                     | -8.652    |
| Biggest pos size            | 270.3     |
| Biggest pos cost            | 600.6     |
| Volume quote                | 85971.4   |
+-----------------------------+-----------+
