+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.123%    |
| Final balance               | 2509.55   |
| Final equity                | 2499.05   |
| Net PNL + fees              | 1509.55   |
| Total gain                  | 156.4%    |
| Average daily gain          | 0.124%    |
| DG mean std ratio           | 0.07838   |
| Price action distance mean  | 0.0312077 |
| Price action distance std   | 0.0389476 |
| Price action distance max   | 0.486916  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7021    |
| Equity/balance ratio std    | 0.02151   |
| No. fills                   | 19272     |
| No. entries                 | 11023     |
| No. closes                  | 8249      |
| No. initial entries         | 8146      |
| No. reentries               | 2877      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8249      |
| Average n fills per day     | 23.4      |
| Mean hours stuck            | 2.15988   |
| Max hours stuck             | 1443.7    |
| PNL sum                     | 1564.0    |
| Profit sum                  | 1564.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -54.51    |
| Biggest pos size            | 341820.0  |
| Biggest pos cost            | 2269.0    |
| Volume quote                | 545101.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -18.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -940.183  |
| Total gain                  | -94.0%    |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.04573  |
| Price action distance mean  | 0.0664203 |
| Price action distance std   | 0.119346  |
| Price action distance max   | 0.908242  |
| Closest bankruptcy          | 5.75%     |
| Lowest equity/balance ratio | 0.1002    |
| Equity/balance ratio std    | 0.0123    |
| No. fills                   | 276       |
| No. entries                 | 204       |
| No. closes                  | 71        |
| No. initial entries         | 72        |
| No. reentries               | 131       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 0         |
| No. normal closes           | 71        |
| Average n fills per day     | 0.335     |
| Mean hours stuck            | 92.4813   |
| Max hours stuck             | 14924.6   |
| PNL sum                     | -940.0    |
| Profit sum                  | 8.631     |
| Loss sum                    | -948.7    |
| Fee sum                     | -0.1335   |
| Biggest pos size            | 29064.0   |
| Biggest pos cost            | 91.68     |
| Volume quote                | 1243.09   |
+-----------------------------+-----------+
