+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.148%    |
| Final balance               | 2636.51   |
| Final equity                | 2631.44   |
| Net PNL + fees              | 1636.51   |
| Total gain                  | 170.4%    |
| Average daily gain          | 0.144%    |
| DG mean std ratio           | 0.1053    |
| Price action distance mean  | 0.0241969 |
| Price action distance std   | 0.0373514 |
| Price action distance max   | 0.628009  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.649     |
| Equity/balance ratio std    | 0.02315   |
| No. fills                   | 25428     |
| No. entries                 | 14337     |
| No. closes                  | 11091     |
| No. initial entries         | 10940     |
| No. reentries               | 3397      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11091     |
| Average n fills per day     | 35.3      |
| Mean hours stuck            | 1.81653   |
| Max hours stuck             | 321.083   |
| PNL sum                     | 1704.0    |
| Profit sum                  | 1704.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -67.0     |
| Biggest pos size            | 67866.0   |
| Biggest pos cost            | 2257.0    |
| Volume quote                | 670018.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.9%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -940.011  |
| Total gain                  | -93.94%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.05605  |
| Price action distance mean  | 0.356079  |
| Price action distance std   | 0.358781  |
| Price action distance max   | 0.91641   |
| Closest bankruptcy          | 5.941%    |
| Lowest equity/balance ratio | 0.06879   |
| Equity/balance ratio std    | 0.1043    |
| No. fills                   | 1987      |
| No. entries                 | 1315      |
| No. closes                  | 671       |
| No. initial entries         | 631       |
| No. reentries               | 683       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 35        |
| No. normal closes           | 636       |
| Average n fills per day     | 2.76      |
| Mean hours stuck            | 12.7184   |
| Max hours stuck             | 12792.2   |
| PNL sum                     | -939.4    |
| Profit sum                  | 22.18     |
| Loss sum                    | -961.6    |
| Fee sum                     | -0.57     |
| Biggest pos size            | 5959.0    |
| Biggest pos cost            | 92.93     |
| Volume quote                | 5616.38   |
+-----------------------------+-----------+
