+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0595%   |
| Final balance               | 1500.11   |
| Final equity                | 1489.44   |
| Net PNL + fees              | 500.106   |
| Total gain                  | 82.01%    |
| Average daily gain          | 0.079%    |
| DG mean std ratio           | 0.03452   |
| Price action distance mean  | 0.0191659 |
| Price action distance std   | 0.0305937 |
| Price action distance max   | 0.726317  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6172    |
| Equity/balance ratio std    | 0.02276   |
| No. fills                   | 62760     |
| No. entries                 | 32537     |
| No. closes                  | 30223     |
| No. initial entries         | 26403     |
| No. reentries               | 5782      |
| No. unstuck entries         | 352       |
| No. unstuck closes          | 3371      |
| No. normal closes           | 26852     |
| Average n fills per day     | 83.7      |
| Mean hours stuck            | 1.29745   |
| Max hours stuck             | 144.167   |
| PNL sum                     | 820.1     |
| Profit sum                  | 5312.0    |
| Loss sum                    | -4492.0   |
| Fee sum                     | -320.0    |
| Biggest pos size            | 346.8     |
| Biggest pos cost            | 3332.0    |
| Volume quote                | 3200110.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.1%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -946.326  |
| Total gain                  | -94.57%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.05806  |
| Price action distance mean  | 0.155338  |
| Price action distance std   | 0.254416  |
| Price action distance max   | 0.910432  |
| Closest bankruptcy          | 5.087%    |
| Lowest equity/balance ratio | 0.08393   |
| Equity/balance ratio std    | 0.04161   |
| No. fills                   | 2614      |
| No. entries                 | 1489      |
| No. closes                  | 1124      |
| No. initial entries         | 1112      |
| No. reentries               | 377       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 4         |
| No. normal closes           | 1120      |
| Average n fills per day     | 3.49      |
| Mean hours stuck            | 23.2168   |
| Max hours stuck             | 14628.0   |
| PNL sum                     | -945.7    |
| Profit sum                  | 18.16     |
| Loss sum                    | -963.8    |
| Fee sum                     | -0.6484   |
| Biggest pos size            | 25.9      |
| Biggest pos cost            | 92.63     |
| Volume quote                | 6392.69   |
+-----------------------------+-----------+
