+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 749.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.156%   |
| Final balance               | 2200.68  |
| Final equity                | 1085.29  |
| Net PNL + fees              | 1200.68  |
| Total gain                  | 125.5%   |
| Average daily gain          | 0.0508%  |
| DG mean std ratio           | 0.01808  |
| Price action distance mean  | 0.811339 |
| Price action distance std   | 1.08071  |
| Price action distance max   | 4.14203  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4539   |
| Equity/balance ratio std    | 0.2096   |
| No. fills                   | 21054    |
| No. entries                 | 11843    |
| No. closes                  | 9211     |
| No. initial entries         | 9292     |
| No. reentries               | 2551     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 9211     |
| Average n fills per day     | 28.1     |
| Mean hours stuck            | 3.41617  |
| Max hours stuck             | 4533.47  |
| PNL sum                     | 1255.0   |
| Profit sum                  | 1255.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -54.4    |
| Biggest pos size            | 258.4    |
| Biggest pos cost            | 1490.0   |
| Volume quote                | 544000.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -5.63%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -919.878 |
| Total gain                  | -91.87%  |
| Average daily gain          | -0.612%  |
| DG mean std ratio           | -0.04206 |
| Price action distance mean  | 0.140243 |
| Price action distance std   | 0.232727 |
| Price action distance max   | 0.736292 |
| Closest bankruptcy          | 5.988%   |
| Lowest equity/balance ratio | 0.09347  |
| Equity/balance ratio std    | 0.1031   |
| No. fills                   | 1721     |
| No. entries                 | 1110     |
| No. closes                  | 610      |
| No. initial entries         | 616      |
| No. reentries               | 494      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 610      |
| Average n fills per day     | 2.3      |
| Mean hours stuck            | 12.9632  |
| Max hours stuck             | 14867.3  |
| PNL sum                     | -918.7   |
| Profit sum                  | 72.2     |
| Loss sum                    | -990.9   |
| Fee sum                     | -1.192   |
| Biggest pos size            | 110.5    |
| Biggest pos cost            | 347.7    |
| Volume quote                | 11574.7  |
+-----------------------------+----------+
