+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 749.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.279%   |
| Final balance               | 4396.23  |
| Final equity                | 2086.51  |
| Net PNL + fees              | 3396.23  |
| Total gain                  | 348.7%   |
| Average daily gain          | 0.141%   |
| DG mean std ratio           | 0.04711  |
| Price action distance mean  | 0.640489 |
| Price action distance std   | 0.897302 |
| Price action distance max   | 3.52216  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4496   |
| Equity/balance ratio std    | 0.2028   |
| No. fills                   | 16880    |
| No. entries                 | 10066    |
| No. closes                  | 6814     |
| No. initial entries         | 6003     |
| No. reentries               | 4063     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 6814     |
| Average n fills per day     | 22.5     |
| Mean hours stuck            | 2.55982  |
| Max hours stuck             | 3848.92  |
| PNL sum                     | 3487.0   |
| Profit sum                  | 3487.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -90.93   |
| Biggest pos size            | 297.3    |
| Biggest pos cost            | 3107.0   |
| Volume quote                | 909260.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -6.28%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -917.856 |
| Total gain                  | -91.52%  |
| Average daily gain          | -0.612%  |
| DG mean std ratio           | -0.06127 |
| Price action distance mean  | 0.144101 |
| Price action distance std   | 0.23907  |
| Price action distance max   | 0.761161 |
| Closest bankruptcy          | 5.975%   |
| Lowest equity/balance ratio | 0.07364  |
| Equity/balance ratio std    | 0.09659  |
| No. fills                   | 1865     |
| No. entries                 | 1247     |
| No. closes                  | 617      |
| No. initial entries         | 517      |
| No. reentries               | 730      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 617      |
| Average n fills per day     | 2.49     |
| Mean hours stuck            | 14.9196  |
| Max hours stuck             | 14743.2  |
| PNL sum                     | -915.2   |
| Profit sum                  | 132.0    |
| Loss sum                    | -1047.0  |
| Fee sum                     | -2.662   |
| Biggest pos size            | 100.7    |
| Biggest pos cost            | 328.3    |
| Volume quote                | 26291.9  |
+-----------------------------+----------+
