+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0466%   |
| Final balance               | 1265.33   |
| Final equity                | 1264.17   |
| Net PNL + fees              | 265.328   |
| Total gain                  | 28.16%    |
| Average daily gain          | 0.0256%   |
| DG mean std ratio           | 0.03784   |
| Price action distance mean  | 0.0248813 |
| Price action distance std   | 0.0344277 |
| Price action distance max   | 0.985913  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7516    |
| Equity/balance ratio std    | 0.01161   |
| No. fills                   | 19446     |
| No. entries                 | 10232     |
| No. closes                  | 9214      |
| No. initial entries         | 9072      |
| No. reentries               | 1156      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 133       |
| No. normal closes           | 9081      |
| Average n fills per day     | 19.2      |
| Mean hours stuck            | 5.73284   |
| Max hours stuck             | 277.433   |
| PNL sum                     | 281.6     |
| Profit sum                  | 334.6     |
| Loss sum                    | -53.02    |
| Fee sum                     | -16.27    |
| Biggest pos size            | 2623.0    |
| Biggest pos cost            | 504.4     |
| Volume quote                | 162664.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0604%   |
| Final balance               | 1356.66   |
| Final equity                | 1356.65   |
| Net PNL + fees              | 356.662   |
| Total gain                  | 37.28%    |
| Average daily gain          | 0.178%    |
| DG mean std ratio           | 0.03174   |
| Price action distance mean  | 0.105144  |
| Price action distance std   | 0.151583  |
| Price action distance max   | 0.62418   |
| Closest bankruptcy          | 12.71%    |
| Lowest equity/balance ratio | 0.1713    |
| Equity/balance ratio std    | 0.1421    |
| No. fills                   | 15781     |
| No. entries                 | 10176     |
| No. closes                  | 5605      |
| No. initial entries         | 5519      |
| No. reentries               | 4657      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 8         |
| No. normal closes           | 5597      |
| Average n fills per day     | 15.6      |
| Mean hours stuck            | 3.17275   |
| Max hours stuck             | 2625.32   |
| PNL sum                     | 372.8     |
| Profit sum                  | 374.3     |
| Loss sum                    | -1.541    |
| Fee sum                     | -16.14    |
| Biggest pos size            | 2288.0    |
| Biggest pos cost            | 634.4     |
| Volume quote                | 161365.0  |
+-----------------------------+-----------+
