+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.152%    |
| Final balance               | 3117.98   |
| Final equity                | 2757.59   |
| Net PNL + fees              | 2117.98   |
| Total gain                  | 216.3%    |
| Average daily gain          | 0.144%    |
| DG mean std ratio           | 0.07149   |
| Price action distance mean  | 0.0326904 |
| Price action distance std   | 0.0439276 |
| Price action distance max   | 0.629154  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.649     |
| Equity/balance ratio std    | 0.0343    |
| No. fills                   | 9325      |
| No. entries                 | 5515      |
| No. closes                  | 3810      |
| No. initial entries         | 3294      |
| No. reentries               | 2221      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3810      |
| Average n fills per day     | 11.3      |
| Mean hours stuck            | 3.22802   |
| Max hours stuck             | 1767.42   |
| PNL sum                     | 2163.0    |
| Profit sum                  | 2163.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -45.16    |
| Biggest pos size            | 323224.0  |
| Biggest pos cost            | 2835.0    |
| Volume quote                | 451580.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -18.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -937.786  |
| Total gain                  | -93.76%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.04704  |
| Price action distance mean  | 0.0731182 |
| Price action distance std   | 0.143496  |
| Price action distance max   | 0.908294  |
| Closest bankruptcy          | 5.954%    |
| Lowest equity/balance ratio | 0.09968   |
| Equity/balance ratio std    | 0.01604   |
| No. fills                   | 467       |
| No. entries                 | 336       |
| No. closes                  | 130       |
| No. initial entries         | 131       |
| No. reentries               | 205       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 130       |
| Average n fills per day     | 0.566     |
| Mean hours stuck            | 64.2565   |
| Max hours stuck             | 14924.7   |
| PNL sum                     | -937.6    |
| Profit sum                  | 15.14     |
| Loss sum                    | -952.7    |
| Fee sum                     | -0.1813   |
| Biggest pos size            | 29694.0   |
| Biggest pos cost            | 92.26     |
| Volume quote                | 1720.34   |
+-----------------------------+-----------+
