+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.249%    |
| Final balance               | 3532.43   |
| Final equity                | 1766.23   |
| Net PNL + fees              | 2532.43   |
| Total gain                  | 256.6%    |
| Average daily gain          | 0.113%    |
| DG mean std ratio           | 0.04204   |
| Price action distance mean  | 0.614198  |
| Price action distance std   | 0.880449  |
| Price action distance max   | 3.43097   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4755    |
| Equity/balance ratio std    | 0.1945    |
| No. fills                   | 14487     |
| No. entries                 | 5395      |
| No. closes                  | 9092      |
| No. initial entries         | 3690      |
| No. reentries               | 1705      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9092      |
| Average n fills per day     | 19.3      |
| Mean hours stuck            | 2.87107   |
| Max hours stuck             | 3848.83   |
| PNL sum                     | 2566.0    |
| Profit sum                  | 2566.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -33.37    |
| Biggest pos size            | 219.3     |
| Biggest pos cost            | 2393.0    |
| Volume quote                | 333710.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -5.63%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -917.585  |
| Total gain                  | -91.6%    |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.06142  |
| Price action distance mean  | 0.0905763 |
| Price action distance std   | 0.158591  |
| Price action distance max   | 0.739245  |
| Closest bankruptcy          | 5.933%    |
| Lowest equity/balance ratio | 0.07936   |
| Equity/balance ratio std    | 0.05199   |
| No. fills                   | 850       |
| No. entries                 | 540       |
| No. closes                  | 309       |
| No. initial entries         | 310       |
| No. reentries               | 230       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 309       |
| Average n fills per day     | 1.13      |
| Mean hours stuck            | 25.4858   |
| Max hours stuck             | 15228.3   |
| PNL sum                     | -916.0    |
| Profit sum                  | 112.9     |
| Loss sum                    | -1029.0   |
| Fee sum                     | -1.61     |
| Biggest pos size            | 116.9     |
| Biggest pos cost            | 360.9     |
| Volume quote                | 15735.6   |
+-----------------------------+-----------+
