+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.269%    |
| Final balance               | 4142.94   |
| Final equity                | 4142.32   |
| Net PNL + fees              | 3142.94   |
| Total gain                  | 318.4%    |
| Average daily gain          | 0.187%    |
| DG mean std ratio           | 0.1831    |
| Price action distance mean  | 0.0108511 |
| Price action distance std   | 0.0126937 |
| Price action distance max   | 0.850878  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6888    |
| Equity/balance ratio std    | 0.006651  |
| No. fills                   | 22349     |
| No. entries                 | 8844      |
| No. closes                  | 13505     |
| No. initial entries         | 6792      |
| No. reentries               | 2052      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13505     |
| Average n fills per day     | 28.6      |
| Mean hours stuck            | 2.12879   |
| Max hours stuck             | 161.15    |
| PNL sum                     | 3184.0    |
| Profit sum                  | 3184.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -40.82    |
| Biggest pos size            | 417.9     |
| Biggest pos cost            | 2677.0    |
| Volume quote                | 408159.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -5.4%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -915.501  |
| Total gain                  | -91.36%   |
| Average daily gain          | -0.587%   |
| DG mean std ratio           | -0.04768  |
| Price action distance mean  | 0.15023   |
| Price action distance std   | 0.228565  |
| Price action distance max   | 0.739259  |
| Closest bankruptcy          | 5.975%    |
| Lowest equity/balance ratio | 0.07813   |
| Equity/balance ratio std    | 0.1064    |
| No. fills                   | 874       |
| No. entries                 | 571       |
| No. closes                  | 302       |
| No. initial entries         | 303       |
| No. reentries               | 268       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 302       |
| Average n fills per day     | 1.12      |
| Mean hours stuck            | 25.9488   |
| Max hours stuck             | 14783.7   |
| PNL sum                     | -913.6    |
| Profit sum                  | 133.3     |
| Loss sum                    | -1047.0   |
| Fee sum                     | -1.917    |
| Biggest pos size            | 87.1      |
| Biggest pos cost            | 367.9     |
| Volume quote                | 18803.6   |
+-----------------------------+-----------+
