+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0291%  |
| Final balance               | 863.544   |
| Final equity                | 863.513   |
| Net PNL + fees              | -136.456  |
| Total gain                  | -7.266%   |
| Average daily gain          | -0.00844% |
| DG mean std ratio           | -0.007863 |
| Price action distance mean  | 0.0124597 |
| Price action distance std   | 0.0212233 |
| Price action distance max   | 0.965427  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7484    |
| Equity/balance ratio std    | 0.008408  |
| No. fills                   | 33151     |
| No. entries                 | 18470     |
| No. closes                  | 14681     |
| No. initial entries         | 12156     |
| No. reentries               | 6094      |
| No. unstuck entries         | 220       |
| No. unstuck closes          | 174       |
| No. normal closes           | 14507     |
| Average n fills per day     | 32.9      |
| Mean hours stuck            | 2.19295   |
| Max hours stuck             | 75.8333   |
| PNL sum                     | -72.66    |
| Profit sum                  | 1292.0    |
| Loss sum                    | -1365.0   |
| Fee sum                     | -63.79    |
| Biggest pos size            | 14.3      |
| Biggest pos cost            | 660.6     |
| Volume quote                | 637950.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0584%   |
| Final balance               | 1342.34   |
| Final equity                | 1342.25   |
| Net PNL + fees              | 342.343   |
| Total gain                  | 39.7%     |
| Average daily gain          | 0.0306%   |
| DG mean std ratio           | 0.05865   |
| Price action distance mean  | 0.0148767 |
| Price action distance std   | 0.0113646 |
| Price action distance max   | 0.221627  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8582    |
| Equity/balance ratio std    | 0.004845  |
| No. fills                   | 22830     |
| No. entries                 | 11960     |
| No. closes                  | 10870     |
| No. initial entries         | 9539      |
| No. reentries               | 2198      |
| No. unstuck entries         | 223       |
| No. unstuck closes          | 161       |
| No. normal closes           | 10709     |
| Average n fills per day     | 22.7      |
| Mean hours stuck            | 4.8689    |
| Max hours stuck             | 102.867   |
| PNL sum                     | 397.0     |
| Profit sum                  | 1142.0    |
| Loss sum                    | -745.2    |
| Fee sum                     | -54.68    |
| Biggest pos size            | 16.4      |
| Biggest pos cost            | 680.6     |
| Volume quote                | 546754.0  |
+-----------------------------+-----------+
