+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.277%    |
| Final balance               | 6125.68   |
| Final equity                | 4526.91   |
| Net PNL + fees              | 5125.68   |
| Total gain                  | 517.9%    |
| Average daily gain          | 0.266%    |
| DG mean std ratio           | 0.07865   |
| Price action distance mean  | 0.168166  |
| Price action distance std   | 0.313577  |
| Price action distance max   | 2.44757   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.3541    |
| Equity/balance ratio std    | 0.1414    |
| No. fills                   | 5227      |
| No. entries                 | 3114      |
| No. closes                  | 2113      |
| No. initial entries         | 1894      |
| No. reentries               | 1220      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2113      |
| Average n fills per day     | 7.25      |
| Mean hours stuck            | 5.30745   |
| Max hours stuck             | 3761.88   |
| PNL sum                     | 5179.0    |
| Profit sum                  | 5179.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -53.45    |
| Biggest pos size            | 52190.0   |
| Biggest pos cost            | 5573.0    |
| Volume quote                | 534529.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0803%   |
| Final balance               | 1053.99   |
| Final equity                | 860.181   |
| Net PNL + fees              | 53.9925   |
| Total gain                  | 5.451%    |
| Average daily gain          | 0.349%    |
| DG mean std ratio           | 0.03829   |
| Price action distance mean  | 0.591392  |
| Price action distance std   | 0.308837  |
| Price action distance max   | 0.911566  |
| Closest bankruptcy          | 6.237%    |
| Lowest equity/balance ratio | 0.06467   |
| Equity/balance ratio std    | 0.2187    |
| No. fills                   | 943       |
| No. entries                 | 494       |
| No. closes                  | 449       |
| No. initial entries         | 313       |
| No. reentries               | 181       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 449       |
| Average n fills per day     | 1.31      |
| Mean hours stuck            | 32.3914   |
| Max hours stuck             | 13974.1   |
| PNL sum                     | 54.51     |
| Profit sum                  | 54.51     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.5168   |
| Biggest pos size            | 6057.0    |
| Biggest pos cost            | 95.64     |
| Volume quote                | 5167.71   |
+-----------------------------+-----------+
