+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0424%  |
| Final balance               | 807.534   |
| Final equity                | 807.382   |
| Net PNL + fees              | -192.466  |
| Total gain                  | -18.71%   |
| Average daily gain          | -0.00893% |
| DG mean std ratio           | -0.005792 |
| Price action distance mean  | 0.119704  |
| Price action distance std   | 0.234061  |
| Price action distance max   | 1.83369   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6727    |
| Equity/balance ratio std    | 0.06606   |
| No. fills                   | 1359      |
| No. entries                 | 697       |
| No. closes                  | 662       |
| No. initial entries         | 371       |
| No. reentries               | 266       |
| No. unstuck entries         | 60        |
| No. unstuck closes          | 20        |
| No. normal closes           | 642       |
| Average n fills per day     | 1.35      |
| Mean hours stuck            | 30.3817   |
| Max hours stuck             | 2001.05   |
| PNL sum                     | -187.1    |
| Profit sum                  | 769.9     |
| Loss sum                    | -957.0    |
| Fee sum                     | -5.353    |
| Biggest pos size            | 11.1      |
| Biggest pos cost            | 678.3     |
| Volume quote                | 53531.5   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0537%   |
| Final balance               | 1310.38   |
| Final equity                | 1309.84   |
| Net PNL + fees              | 310.378   |
| Total gain                  | 31.26%    |
| Average daily gain          | 0.0313%   |
| DG mean std ratio           | 0.0326    |
| Price action distance mean  | 0.0689671 |
| Price action distance std   | 0.0615055 |
| Price action distance max   | 0.380955  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8072    |
| Equity/balance ratio std    | 0.0148    |
| No. fills                   | 531       |
| No. entries                 | 245       |
| No. closes                  | 286       |
| No. initial entries         | 183       |
| No. reentries               | 52        |
| No. unstuck entries         | 10        |
| No. unstuck closes          | 5         |
| No. normal closes           | 281       |
| Average n fills per day     | 0.527     |
| Mean hours stuck            | 53.8615   |
| Max hours stuck             | 1547.12   |
| PNL sum                     | 312.6     |
| Profit sum                  | 387.3     |
| Loss sum                    | -74.71    |
| Fee sum                     | -2.215    |
| Biggest pos size            | 7.7       |
| Biggest pos cost            | 659.3     |
| Volume quote                | 22148.4   |
+-----------------------------+-----------+
