+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.215%    |
| Final balance               | 4073.03   |
| Final equity                | 4062.07   |
| Net PNL + fees              | 3073.03   |
| Total gain                  | 320.9%    |
| Average daily gain          | 0.214%    |
| DG mean std ratio           | 0.1061    |
| Price action distance mean  | 0.0291822 |
| Price action distance std   | 0.0479238 |
| Price action distance max   | 0.599795  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6592    |
| Equity/balance ratio std    | 0.03366   |
| No. fills                   | 39835     |
| No. entries                 | 24367     |
| No. closes                  | 15468     |
| No. initial entries         | 14724     |
| No. reentries               | 9643      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15468     |
| Average n fills per day     | 55.3      |
| Mean hours stuck            | 0.976679  |
| Max hours stuck             | 400.467   |
| PNL sum                     | 3209.0    |
| Profit sum                  | 3209.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -135.6    |
| Biggest pos size            | 66984.0   |
| Biggest pos cost            | 3414.0    |
| Volume quote                | 1356270.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.9%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -943.297  |
| Total gain                  | -94.31%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.05713  |
| Price action distance mean  | 0.289644  |
| Price action distance std   | 0.327983  |
| Price action distance max   | 0.911147  |
| Closest bankruptcy          | 5.737%    |
| Lowest equity/balance ratio | 0.0671    |
| Equity/balance ratio std    | 0.1085    |
| No. fills                   | 998       |
| No. entries                 | 593       |
| No. closes                  | 404       |
| No. initial entries         | 253       |
| No. reentries               | 337       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 152       |
| No. normal closes           | 252       |
| Average n fills per day     | 1.38      |
| Mean hours stuck            | 27.8984   |
| Max hours stuck             | 13974.0   |
| PNL sum                     | -943.1    |
| Profit sum                  | 6.229     |
| Loss sum                    | -949.4    |
| Fee sum                     | -0.1719   |
| Biggest pos size            | 5792.0    |
| Biggest pos cost            | 91.52     |
| Volume quote                | 1632.27   |
+-----------------------------+-----------+
