+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.099%    |
| Final balance               | 1628.8    |
| Final equity                | 1627.99   |
| Net PNL + fees              | 628.802   |
| Total gain                  | 72.01%    |
| Average daily gain          | 0.0539%   |
| DG mean std ratio           | 0.05905   |
| Price action distance mean  | 0.0146039 |
| Price action distance std   | 0.0176406 |
| Price action distance max   | 1.06568   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7418    |
| Equity/balance ratio std    | 0.006127  |
| No. fills                   | 23363     |
| No. entries                 | 12777     |
| No. closes                  | 10586     |
| No. initial entries         | 8405      |
| No. reentries               | 2628      |
| No. unstuck entries         | 1744      |
| No. unstuck closes          | 461       |
| No. normal closes           | 10125     |
| Average n fills per day     | 23.7      |
| Mean hours stuck            | 3.01427   |
| Max hours stuck             | 114.483   |
| PNL sum                     | 720.1     |
| Profit sum                  | 2398.0    |
| Loss sum                    | -1678.0   |
| Fee sum                     | -91.27    |
| Biggest pos size            | 16954.0   |
| Biggest pos cost            | 915.9     |
| Volume quote                | 912665.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.037%   |
| Final balance               | 833.119   |
| Final equity                | 833.119   |
| Net PNL + fees              | -166.881  |
| Total gain                  | -15.84%   |
| Average daily gain          | -0.0061%  |
| DG mean std ratio           | -0.004037 |
| Price action distance mean  | 0.0396683 |
| Price action distance std   | 0.0698623 |
| Price action distance max   | 0.481269  |
| Closest bankruptcy          | 54.85%    |
| Lowest equity/balance ratio | 0.5352    |
| Equity/balance ratio std    | 0.038     |
| No. fills                   | 6105      |
| No. entries                 | 3478      |
| No. closes                  | 2627      |
| No. initial entries         | 2248      |
| No. reentries               | 1137      |
| No. unstuck entries         | 93        |
| No. unstuck closes          | 294       |
| No. normal closes           | 2333      |
| Average n fills per day     | 6.19      |
| Mean hours stuck            | 5.58055   |
| Max hours stuck             | 280.367   |
| PNL sum                     | -158.4    |
| Profit sum                  | 323.1     |
| Loss sum                    | -481.5    |
| Fee sum                     | -8.482    |
| Biggest pos size            | 12154.0   |
| Biggest pos cost            | 511.2     |
| Volume quote                | 84817.7   |
+-----------------------------+-----------+
