+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0507%   |
| Final balance               | 1290.8    |
| Final equity                | 853.404   |
| Net PNL + fees              | 290.796   |
| Total gain                  | 30.8%     |
| Average daily gain          | -0.00457% |
| DG mean std ratio           | -0.003093 |
| Price action distance mean  | 0.589313  |
| Price action distance std   | 0.788398  |
| Price action distance max   | 3.58142   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6308    |
| Equity/balance ratio std    | 0.1213    |
| No. fills                   | 10022     |
| No. entries                 | 5630      |
| No. closes                  | 4392      |
| No. initial entries         | 3954      |
| No. reentries               | 1668      |
| No. unstuck entries         | 8         |
| No. unstuck closes          | 23        |
| No. normal closes           | 4369      |
| Average n fills per day     | 9.95      |
| Mean hours stuck            | 7.14231   |
| Max hours stuck             | 6220.85   |
| PNL sum                     | 308.0     |
| Profit sum                  | 419.7     |
| Loss sum                    | -111.7    |
| Fee sum                     | -17.18    |
| Biggest pos size            | 10.1      |
| Biggest pos cost            | 675.2     |
| Volume quote                | 171788.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.72%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -908.302  |
| Total gain                  | -90.45%   |
| Average daily gain          | -0.456%   |
| DG mean std ratio           | -0.02509  |
| Price action distance mean  | 0.137209  |
| Price action distance std   | 0.189327  |
| Price action distance max   | 0.64713   |
| Closest bankruptcy          | 5.973%    |
| Lowest equity/balance ratio | 0.08867   |
| Equity/balance ratio std    | 0.1463    |
| No. fills                   | 4049      |
| No. entries                 | 2603      |
| No. closes                  | 1445      |
| No. initial entries         | 1301      |
| No. reentries               | 1301      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 2         |
| No. normal closes           | 1443      |
| Average n fills per day     | 4.02      |
| Mean hours stuck            | 9.75942   |
| Max hours stuck             | 13140.1   |
| PNL sum                     | -904.5    |
| Profit sum                  | 93.35     |
| Loss sum                    | -997.8    |
| Fee sum                     | -3.833    |
| Biggest pos size            | 9.4       |
| Biggest pos cost            | 549.9     |
| Volume quote                | 37790.7   |
+-----------------------------+-----------+
