+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 1007.66  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0802%  |
| Final balance               | 2083.78  |
| Final equity                | 759.393  |
| Net PNL + fees              | 1083.78  |
| Total gain                  | 109.5%   |
| Average daily gain          | 0.0361%  |
| DG mean std ratio           | 0.0103   |
| Price action distance mean  | 0.52585  |
| Price action distance std   | 0.725993 |
| Price action distance max   | 3.33552  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.303    |
| Equity/balance ratio std    | 0.2171   |
| No. fills                   | 2222     |
| No. entries                 | 1411     |
| No. closes                  | 811      |
| No. initial entries         | 664      |
| No. reentries               | 747      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 811      |
| Average n fills per day     | 2.21     |
| Mean hours stuck            | 12.9881  |
| Max hours stuck             | 7507.08  |
| PNL sum                     | 1095.0   |
| Profit sum                  | 1095.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -10.92   |
| Biggest pos size            | 20.2     |
| Biggest pos cost            | 1888.0   |
| Volume quote                | 109227.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0781%  |
| Final balance               | 1074.12  |
| Final equity                | 1074.11  |
| Net PNL + fees              | 74.1233  |
| Total gain                  | 7.469%   |
| Average daily gain          | 0.0139%  |
| DG mean std ratio           | 0.01178  |
| Price action distance mean  | 0.249907 |
| Price action distance std   | 0.229127 |
| Price action distance max   | 0.795171 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6221   |
| Equity/balance ratio std    | 0.06237  |
| No. fills                   | 659      |
| No. entries                 | 327      |
| No. closes                  | 332      |
| No. initial entries         | 183      |
| No. reentries               | 144      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 332      |
| Average n fills per day     | 0.654    |
| Mean hours stuck            | 71.9757  |
| Max hours stuck             | 12216.6  |
| PNL sum                     | 74.69    |
| Profit sum                  | 74.69    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.5647  |
| Biggest pos size            | 2.7      |
| Biggest pos cost            | 103.0    |
| Volume quote                | 5647.21  |
+-----------------------------+----------+
