+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.101%    |
| Final balance               | 1664.52   |
| Final equity                | 1000.98   |
| Net PNL + fees              | 664.524   |
| Total gain                  | 70.14%    |
| Average daily gain          | 0.015%    |
| DG mean std ratio           | 0.008808  |
| Price action distance mean  | 0.867265  |
| Price action distance std   | 1.19954   |
| Price action distance max   | 5.2811    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5778    |
| Equity/balance ratio std    | 0.1418    |
| No. fills                   | 16312     |
| No. entries                 | 9782      |
| No. closes                  | 6530      |
| No. initial entries         | 5531      |
| No. reentries               | 4248      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 7         |
| No. normal closes           | 6523      |
| Average n fills per day     | 16.2      |
| Mean hours stuck            | 3.4822    |
| Max hours stuck             | 7942.9    |
| PNL sum                     | 701.4     |
| Profit sum                  | 889.1     |
| Loss sum                    | -187.7    |
| Fee sum                     | -36.87    |
| Biggest pos size            | 9.9       |
| Biggest pos cost            | 900.0     |
| Volume quote                | 368725.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0344%   |
| Final balance               | 1189.08   |
| Final equity                | 1189.09   |
| Net PNL + fees              | 189.08    |
| Total gain                  | 22.47%    |
| Average daily gain          | 0.0215%   |
| DG mean std ratio           | 0.02333   |
| Price action distance mean  | 0.018943  |
| Price action distance std   | 0.0268124 |
| Price action distance max   | 0.275103  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8064    |
| Equity/balance ratio std    | 0.01249   |
| No. fills                   | 17366     |
| No. entries                 | 11072     |
| No. closes                  | 6294      |
| No. initial entries         | 4882      |
| No. reentries               | 6018      |
| No. unstuck entries         | 172       |
| No. unstuck closes          | 74        |
| No. normal closes           | 6220      |
| Average n fills per day     | 17.2      |
| Mean hours stuck            | 1.82423   |
| Max hours stuck             | 140.45    |
| PNL sum                     | 224.7     |
| Profit sum                  | 781.3     |
| Loss sum                    | -556.6    |
| Fee sum                     | -35.59    |
| Biggest pos size            | 13.6      |
| Biggest pos cost            | 600.4     |
| Volume quote                | 355936.0  |
+-----------------------------+-----------+
