+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.126%    |
| Final balance               | 3171.56   |
| Final equity                | 3148.84   |
| Net PNL + fees              | 2171.56   |
| Total gain                  | 226.3%    |
| Average daily gain          | 0.139%    |
| DG mean std ratio           | 0.06111   |
| Price action distance mean  | 0.0833571 |
| Price action distance std   | 0.239189  |
| Price action distance max   | 1.5816    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4426    |
| Equity/balance ratio std    | 0.1117    |
| No. fills                   | 29521     |
| No. entries                 | 18183     |
| No. closes                  | 11338     |
| No. initial entries         | 10966     |
| No. reentries               | 7217      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11338     |
| Average n fills per day     | 29.2      |
| Mean hours stuck            | 1.87346   |
| Max hours stuck             | 2102.53   |
| PNL sum                     | 2263.0    |
| Profit sum                  | 2263.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -91.76    |
| Biggest pos size            | 8140.0    |
| Biggest pos cost            | 2685.0    |
| Volume quote                | 917577.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.042%   |
| Final balance               | 962.113   |
| Final equity                | 962.112   |
| Net PNL + fees              | -37.8873  |
| Total gain                  | -3.571%   |
| Average daily gain          | -0.00238% |
| DG mean std ratio           | -0.004453 |
| Price action distance mean  | 0.0799564 |
| Price action distance std   | 0.124605  |
| Price action distance max   | 0.618188  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8533    |
| Equity/balance ratio std    | 0.01786   |
| No. fills                   | 12474     |
| No. entries                 | 8495      |
| No. closes                  | 3979      |
| No. initial entries         | 3636      |
| No. reentries               | 4846      |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 62        |
| No. normal closes           | 3917      |
| Average n fills per day     | 12.3      |
| Mean hours stuck            | 2.74665   |
| Max hours stuck             | 424.883   |
| PNL sum                     | -35.71    |
| Profit sum                  | 54.22     |
| Loss sum                    | -89.93    |
| Fee sum                     | -2.175    |
| Biggest pos size            | 403.0     |
| Biggest pos cost            | 91.45     |
| Volume quote                | 21750.7   |
+-----------------------------+-----------+
