+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0768%   |
| Final balance               | 2011.92   |
| Final equity                | 2010.96   |
| Net PNL + fees              | 1011.92   |
| Total gain                  | 106.0%    |
| Average daily gain          | 0.108%    |
| DG mean std ratio           | 0.04073   |
| Price action distance mean  | 0.099418  |
| Price action distance std   | 0.197037  |
| Price action distance max   | 1.42178   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4663    |
| Equity/balance ratio std    | 0.1017    |
| No. fills                   | 15042     |
| No. entries                 | 8622      |
| No. closes                  | 6420      |
| No. initial entries         | 5993      |
| No. reentries               | 2629      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6420      |
| Average n fills per day     | 15.0      |
| Mean hours stuck            | 2.2317    |
| Max hours stuck             | 2560.98   |
| PNL sum                     | 1060.0    |
| Profit sum                  | 1060.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -48.09    |
| Biggest pos size            | 67548.0   |
| Biggest pos cost            | 1778.0    |
| Volume quote                | 480877.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0959%   |
| Final balance               | 1091.22   |
| Final equity                | 1091.11   |
| Net PNL + fees              | 91.2195   |
| Total gain                  | 9.504%    |
| Average daily gain          | 0.00896%  |
| DG mean std ratio           | 0.0394    |
| Price action distance mean  | 0.0259946 |
| Price action distance std   | 0.0349998 |
| Price action distance max   | 0.477295  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9169    |
| Equity/balance ratio std    | 0.004197  |
| No. fills                   | 20971     |
| No. entries                 | 14160     |
| No. closes                  | 6811      |
| No. initial entries         | 5924      |
| No. reentries               | 8236      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6811      |
| Average n fills per day     | 20.9      |
| Mean hours stuck            | 2.01272   |
| Max hours stuck             | 530.917   |
| PNL sum                     | 95.04     |
| Profit sum                  | 95.04     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.825    |
| Biggest pos size            | 8015.0    |
| Biggest pos cost            | 98.26     |
| Volume quote                | 38246.5   |
+-----------------------------+-----------+
