+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.179%    |
| Final balance               | 1907.71   |
| Final equity                | 1902.82   |
| Net PNL + fees              | 907.71    |
| Total gain                  | 102.6%    |
| Average daily gain          | 0.0963%   |
| DG mean std ratio           | 0.08147   |
| Price action distance mean  | 0.0220084 |
| Price action distance std   | 0.0389824 |
| Price action distance max   | 0.768006  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7828    |
| Equity/balance ratio std    | 0.01474   |
| No. fills                   | 72877     |
| No. entries                 | 52732     |
| No. closes                  | 20145     |
| No. initial entries         | 17650     |
| No. reentries               | 35034     |
| No. unstuck entries         | 48        |
| No. unstuck closes          | 1256      |
| No. normal closes           | 18889     |
| Average n fills per day     | 101.0     |
| Mean hours stuck            | 0.416213  |
| Max hours stuck             | 90.1      |
| PNL sum                     | 1026.0    |
| Profit sum                  | 2376.0    |
| Loss sum                    | -1350.0   |
| Fee sum                     | -118.0    |
| Biggest pos size            | 33652.0   |
| Biggest pos cost            | 1246.0    |
| Volume quote                | 1180000.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.8%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -905.735  |
| Total gain                  | -89.99%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.05984  |
| Price action distance mean  | 0.080204  |
| Price action distance std   | 0.163908  |
| Price action distance max   | 0.6423    |
| Closest bankruptcy          | 5.983%    |
| Lowest equity/balance ratio | 0.1022    |
| Equity/balance ratio std    | 0.05832   |
| No. fills                   | 4591      |
| No. entries                 | 2922      |
| No. closes                  | 1668      |
| No. initial entries         | 1330      |
| No. reentries               | 1589      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 339       |
| No. normal closes           | 1329      |
| Average n fills per day     | 6.37      |
| Mean hours stuck            | 5.58688   |
| Max hours stuck             | 14399.3   |
| PNL sum                     | -899.9    |
| Profit sum                  | 188.3     |
| Loss sum                    | -1088.0   |
| Fee sum                     | -5.83     |
| Biggest pos size            | 34502.0   |
| Biggest pos cost            | 591.3     |
| Volume quote                | 57741.7   |
+-----------------------------+-----------+
