+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0922%   |
| Final balance               | 2314.4    |
| Final equity                | 2299.72   |
| Net PNL + fees              | 1314.4    |
| Total gain                  | 132.5%    |
| Average daily gain          | 0.094%    |
| DG mean std ratio           | 0.06573   |
| Price action distance mean  | 0.0352251 |
| Price action distance std   | 0.0361908 |
| Price action distance max   | 0.869936  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5771    |
| Equity/balance ratio std    | 0.01663   |
| No. fills                   | 2334      |
| No. entries                 | 1573      |
| No. closes                  | 761       |
| No. initial entries         | 686       |
| No. reentries               | 887       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 761       |
| Average n fills per day     | 2.33      |
| Mean hours stuck            | 14.1661   |
| Max hours stuck             | 861.117   |
| PNL sum                     | 1325.0    |
| Profit sum                  | 1325.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -10.69    |
| Biggest pos size            | 77113.0   |
| Biggest pos cost            | 2043.0    |
| Volume quote                | 106852.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0937%   |
| Final balance               | 1089.04   |
| Final equity                | 1089.14   |
| Net PNL + fees              | 89.0401   |
| Total gain                  | 9.004%    |
| Average daily gain          | 0.00954%  |
| DG mean std ratio           | 0.02112   |
| Price action distance mean  | 0.0455989 |
| Price action distance std   | 0.110035  |
| Price action distance max   | 0.612994  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8572    |
| Equity/balance ratio std    | 0.01674   |
| No. fills                   | 3017      |
| No. entries                 | 2152      |
| No. closes                  | 865       |
| No. initial entries         | 696       |
| No. reentries               | 1456      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 865       |
| Average n fills per day     | 3.01      |
| Mean hours stuck            | 8.7769    |
| Max hours stuck             | 1176.22   |
| PNL sum                     | 90.04     |
| Profit sum                  | 90.04     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.9987   |
| Biggest pos size            | 7861.0    |
| Biggest pos cost            | 97.64     |
| Volume quote                | 9987.46   |
+-----------------------------+-----------+
