+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.104%    |
| Final balance               | 1481.31   |
| Final equity                | 1464.54   |
| Net PNL + fees              | 481.31    |
| Total gain                  | 53.11%    |
| Average daily gain          | 0.0631%   |
| DG mean std ratio           | 0.0378    |
| Price action distance mean  | 0.0865291 |
| Price action distance std   | 0.120469  |
| Price action distance max   | 1.17464   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7299    |
| Equity/balance ratio std    | 0.04288   |
| No. fills                   | 35301     |
| No. entries                 | 25951     |
| No. closes                  | 9350      |
| No. initial entries         | 8666      |
| No. reentries               | 17249     |
| No. unstuck entries         | 36        |
| No. unstuck closes          | 524       |
| No. normal closes           | 8826      |
| Average n fills per day     | 46.8      |
| Mean hours stuck            | 0.910888  |
| Max hours stuck             | 363.617   |
| PNL sum                     | 531.1     |
| Profit sum                  | 1196.0    |
| Loss sum                    | -665.3    |
| Fee sum                     | -49.8     |
| Biggest pos size            | 215.6     |
| Biggest pos cost            | 944.0     |
| Volume quote                | 498040.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0516%   |
| Final balance               | 1214.89   |
| Final equity                | 1214.86   |
| Net PNL + fees              | 214.893   |
| Total gain                  | 22.94%    |
| Average daily gain          | 0.0347%   |
| DG mean std ratio           | 0.02581   |
| Price action distance mean  | 0.0405136 |
| Price action distance std   | 0.0757648 |
| Price action distance max   | 0.397439  |
| Closest bankruptcy          | 81.64%    |
| Lowest equity/balance ratio | 0.6746    |
| Equity/balance ratio std    | 0.05116   |
| No. fills                   | 17889     |
| No. entries                 | 9619      |
| No. closes                  | 8270      |
| No. initial entries         | 8245      |
| No. reentries               | 1372      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 9         |
| No. normal closes           | 8261      |
| Average n fills per day     | 23.7      |
| Mean hours stuck            | 2.1918    |
| Max hours stuck             | 666.667   |
| PNL sum                     | 229.4     |
| Profit sum                  | 255.2     |
| Loss sum                    | -25.79    |
| Fee sum                     | -14.54    |
| Biggest pos size            | 126.7     |
| Biggest pos cost            | 598.3     |
| Volume quote                | 145379.0  |
+-----------------------------+-----------+
