+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0801%   |
| Final balance               | 1477.83   |
| Final equity                | 1474.18   |
| Net PNL + fees              | 477.827   |
| Total gain                  | 50.36%    |
| Average daily gain          | 0.0439%   |
| DG mean std ratio           | 0.04958   |
| Price action distance mean  | 0.0250485 |
| Price action distance std   | 0.0568096 |
| Price action distance max   | 1.54645   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6963    |
| Equity/balance ratio std    | 0.0192    |
| No. fills                   | 29166     |
| No. entries                 | 19181     |
| No. closes                  | 9985      |
| No. initial entries         | 9709      |
| No. reentries               | 9468      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 164       |
| No. normal closes           | 9821      |
| Average n fills per day     | 29.9      |
| Mean hours stuck            | 1.60142   |
| Max hours stuck             | 332.35    |
| PNL sum                     | 503.6     |
| Profit sum                  | 527.7     |
| Loss sum                    | -24.14    |
| Fee sum                     | -25.75    |
| Biggest pos size            | 32.56     |
| Biggest pos cost            | 709.9     |
| Volume quote                | 257524.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -926.037  |
| Total gain                  | -92.25%   |
| Average daily gain          | -0.471%   |
| DG mean std ratio           | -0.04812  |
| Price action distance mean  | 0.039988  |
| Price action distance std   | 0.0865262 |
| Price action distance max   | 0.644801  |
| Closest bankruptcy          | 5.966%    |
| Lowest equity/balance ratio | 0.09226   |
| Equity/balance ratio std    | 0.06196   |
| No. fills                   | 3317      |
| No. entries                 | 1804      |
| No. closes                  | 1512      |
| No. initial entries         | 1460      |
| No. reentries               | 341       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 48        |
| No. normal closes           | 1464      |
| Average n fills per day     | 3.4       |
| Mean hours stuck            | 23.5573   |
| Max hours stuck             | 14453.2   |
| PNL sum                     | -922.5    |
| Profit sum                  | 100.7     |
| Loss sum                    | -1023.0   |
| Fee sum                     | -3.551    |
| Biggest pos size            | 43.42     |
| Biggest pos cost            | 548.5     |
| Volume quote                | 35068.9   |
+-----------------------------+-----------+
