+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | DOTUSDT  |
| No. days                    | 781.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.103%   |
| Final balance               | 1492.68  |
| Final equity                | 1082.05  |
| Net PNL + fees              | 492.681  |
| Total gain                  | 52.45%   |
| Average daily gain          | 0.0168%  |
| DG mean std ratio           | 0.01399  |
| Price action distance mean  | 0.212436 |
| Price action distance std   | 0.354016 |
| Price action distance max   | 1.35725  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.712    |
| Equity/balance ratio std    | 0.09114  |
| No. fills                   | 33370    |
| No. entries                 | 22095    |
| No. closes                  | 11275    |
| No. initial entries         | 11054    |
| No. reentries               | 11031    |
| No. unstuck entries         | 10       |
| No. unstuck closes          | 80       |
| No. normal closes           | 11195    |
| Average n fills per day     | 42.7     |
| Mean hours stuck            | 1.10626  |
| Max hours stuck             | 1313.35  |
| PNL sum                     | 524.5    |
| Profit sum                  | 630.5    |
| Loss sum                    | -106.0   |
| Fee sum                     | -31.82   |
| Biggest pos size            | 63.2     |
| Biggest pos cost            | 794.9    |
| Volume quote                | 318187.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -3.5%    |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -923.485 |
| Total gain                  | -92.09%  |
| Average daily gain          | -0.587%  |
| DG mean std ratio           | -0.04488 |
| Price action distance mean  | 0.10756  |
| Price action distance std   | 0.179562 |
| Price action distance max   | 0.645005 |
| Closest bankruptcy          | 5.986%   |
| Lowest equity/balance ratio | 0.09047  |
| Equity/balance ratio std    | 0.1005   |
| No. fills                   | 2688     |
| No. entries                 | 1439     |
| No. closes                  | 1248     |
| No. initial entries         | 1187     |
| No. reentries               | 246      |
| No. unstuck entries         | 6        |
| No. unstuck closes          | 52       |
| No. normal closes           | 1196     |
| Average n fills per day     | 3.44     |
| Mean hours stuck            | 29.2227  |
| Max hours stuck             | 14783.8  |
| PNL sum                     | -920.9   |
| Profit sum                  | 59.28    |
| Loss sum                    | -980.2   |
| Fee sum                     | -2.561   |
| Biggest pos size            | 79.6     |
| Biggest pos cost            | 528.2    |
| Volume quote                | 25160.5  |
+-----------------------------+----------+
