+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.282%    |
| Final balance               | 6329.02   |
| Final equity                | 4845.32   |
| Net PNL + fees              | 5329.02   |
| Total gain                  | 537.1%    |
| Average daily gain          | 0.268%    |
| DG mean std ratio           | 0.08534   |
| Price action distance mean  | 0.139684  |
| Price action distance std   | 0.28627   |
| Price action distance max   | 2.31266   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.3653    |
| Equity/balance ratio std    | 0.1308    |
| No. fills                   | 3732      |
| No. entries                 | 2229      |
| No. closes                  | 1503      |
| No. initial entries         | 1205      |
| No. reentries               | 1024      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1503      |
| Average n fills per day     | 5.18      |
| Mean hours stuck            | 6.66294   |
| Max hours stuck             | 3756.63   |
| PNL sum                     | 5371.0    |
| Profit sum                  | 5371.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -41.9     |
| Biggest pos size            | 40628.0   |
| Biggest pos cost            | 5754.0    |
| Volume quote                | 418957.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.9%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -942.581  |
| Total gain                  | -94.25%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.04636  |
| Price action distance mean  | 0.282713  |
| Price action distance std   | 0.328191  |
| Price action distance max   | 0.910259  |
| Closest bankruptcy          | 5.506%    |
| Lowest equity/balance ratio | 0.0776    |
| Equity/balance ratio std    | 0.1171    |
| No. fills                   | 164       |
| No. entries                 | 101       |
| No. closes                  | 62        |
| No. initial entries         | 56        |
| No. reentries               | 45        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 62        |
| Average n fills per day     | 0.228     |
| Mean hours stuck            | 136.197   |
| Max hours stuck             | 13974.1   |
| PNL sum                     | -942.5    |
| Profit sum                  | 8.726     |
| Loss sum                    | -951.2    |
| Fee sum                     | -0.07734  |
| Biggest pos size            | 5874.0    |
| Biggest pos cost            | 91.73     |
| Volume quote                | 681.629   |
+-----------------------------+-----------+
