+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.272%    |
| Final balance               | 3953.15   |
| Final equity                | 2952.35   |
| Net PNL + fees              | 2953.15   |
| Total gain                  | 298.5%    |
| Average daily gain          | 0.157%    |
| DG mean std ratio           | 0.09553   |
| Price action distance mean  | 0.0543287 |
| Price action distance std   | 0.116814  |
| Price action distance max   | 0.630114  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7383    |
| Equity/balance ratio std    | 0.05424   |
| No. fills                   | 6246      |
| No. entries                 | 3905      |
| No. closes                  | 2341      |
| No. initial entries         | 2248      |
| No. reentries               | 1657      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2341      |
| Average n fills per day     | 8.33      |
| Mean hours stuck            | 3.56226   |
| Max hours stuck             | 1320.65   |
| PNL sum                     | 2985.0    |
| Profit sum                  | 2985.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -31.87    |
| Biggest pos size            | 229.9     |
| Biggest pos cost            | 2676.0    |
| Volume quote                | 318679.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -5.63%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -919.12   |
| Total gain                  | -91.76%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.0402   |
| Price action distance mean  | 0.128579  |
| Price action distance std   | 0.233952  |
| Price action distance max   | 0.735064  |
| Closest bankruptcy          | 5.997%    |
| Lowest equity/balance ratio | 0.09836   |
| Equity/balance ratio std    | 0.1061    |
| No. fills                   | 1860      |
| No. entries                 | 1131      |
| No. closes                  | 728       |
| No. initial entries         | 744       |
| No. reentries               | 387       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 728       |
| Average n fills per day     | 2.48      |
| Mean hours stuck            | 24.547    |
| Max hours stuck             | 14867.4   |
| PNL sum                     | -917.6    |
| Profit sum                  | 80.91     |
| Loss sum                    | -998.5    |
| Fee sum                     | -1.516    |
| Biggest pos size            | 111.5     |
| Biggest pos cost            | 350.8     |
| Volume quote                | 14809.5   |
+-----------------------------+-----------+
