+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0661%   |
| Final balance               | 1392.25   |
| Final equity                | 1391.75   |
| Net PNL + fees              | 392.249   |
| Total gain                  | 41.19%    |
| Average daily gain          | 0.0359%   |
| DG mean std ratio           | 0.04845   |
| Price action distance mean  | 0.0193843 |
| Price action distance std   | 0.0305713 |
| Price action distance max   | 0.984418  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7519    |
| Equity/balance ratio std    | 0.009772  |
| No. fills                   | 21073     |
| No. entries                 | 11785     |
| No. closes                  | 9288      |
| No. initial entries         | 8723      |
| No. reentries               | 3061      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 129       |
| No. normal closes           | 9159      |
| Average n fills per day     | 21.0      |
| Mean hours stuck            | 2.55608   |
| Max hours stuck             | 258.583   |
| PNL sum                     | 411.9     |
| Profit sum                  | 426.9     |
| Loss sum                    | -15.0     |
| Fee sum                     | -19.6     |
| Biggest pos size            | 39902.0   |
| Biggest pos cost            | 686.5     |
| Volume quote                | 196049.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0192%   |
| Final balance               | 1101.14   |
| Final equity                | 1100.89   |
| Net PNL + fees              | 101.138   |
| Total gain                  | 10.73%    |
| Average daily gain          | 0.0547%   |
| DG mean std ratio           | 0.01822   |
| Price action distance mean  | 0.0831573 |
| Price action distance std   | 0.109362  |
| Price action distance max   | 0.571712  |
| Closest bankruptcy          | 29.24%    |
| Lowest equity/balance ratio | 0.3392    |
| Equity/balance ratio std    | 0.09075   |
| No. fills                   | 8502      |
| No. entries                 | 4763      |
| No. closes                  | 3739      |
| No. initial entries         | 2776      |
| No. reentries               | 1981      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 849       |
| No. normal closes           | 2890      |
| Average n fills per day     | 8.49      |
| Mean hours stuck            | 4.88517   |
| Max hours stuck             | 1211.45   |
| PNL sum                     | 107.3     |
| Profit sum                  | 156.5     |
| Loss sum                    | -49.17    |
| Fee sum                     | -6.163    |
| Biggest pos size            | 22574.0   |
| Biggest pos cost            | 548.4     |
| Volume quote                | 61626.2   |
+-----------------------------+-----------+
