+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0713%   |
| Final balance               | 1913.77   |
| Final equity                | 1912.18   |
| Net PNL + fees              | 913.77    |
| Total gain                  | 95.25%    |
| Average daily gain          | 0.0801%   |
| DG mean std ratio           | 0.04751   |
| Price action distance mean  | 0.0206132 |
| Price action distance std   | 0.0389089 |
| Price action distance max   | 0.990484  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5476    |
| Equity/balance ratio std    | 0.02571   |
| No. fills                   | 15544     |
| No. entries                 | 8562      |
| No. closes                  | 6982      |
| No. initial entries         | 6675      |
| No. reentries               | 1887      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 225       |
| No. normal closes           | 6757      |
| Average n fills per day     | 15.5      |
| Mean hours stuck            | 2.5947    |
| Max hours stuck             | 446.8     |
| PNL sum                     | 952.5     |
| Profit sum                  | 953.0     |
| Loss sum                    | -0.4699   |
| Fee sum                     | -38.75    |
| Biggest pos size            | 72332.0   |
| Biggest pos cost            | 1401.0    |
| Volume quote                | 387531.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0523%   |
| Final balance               | 1048.75   |
| Final equity                | 1048.75   |
| Net PNL + fees              | 48.7481   |
| Total gain                  | 5.123%    |
| Average daily gain          | 0.0056%   |
| DG mean std ratio           | 0.01356   |
| Price action distance mean  | 0.0410632 |
| Price action distance std   | 0.0999076 |
| Price action distance max   | 0.614762  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.855     |
| Equity/balance ratio std    | 0.0165    |
| No. fills                   | 13156     |
| No. entries                 | 7713      |
| No. closes                  | 5443      |
| No. initial entries         | 5200      |
| No. reentries               | 2510      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 63        |
| No. normal closes           | 5380      |
| Average n fills per day     | 13.1      |
| Mean hours stuck            | 3.50743   |
| Max hours stuck             | 453.267   |
| PNL sum                     | 51.23     |
| Profit sum                  | 58.95     |
| Loss sum                    | -7.724    |
| Fee sum                     | -2.481    |
| Biggest pos size            | 4771.0    |
| Biggest pos cost            | 93.8      |
| Volume quote                | 24809.6   |
+-----------------------------+-----------+
