+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0921%   |
| Final balance               | 1417.88   |
| Final equity                | 876.566   |
| Net PNL + fees              | 417.879   |
| Total gain                  | 43.66%    |
| Average daily gain          | -0.00968% |
| DG mean std ratio           | -0.007778 |
| Price action distance mean  | 0.91592   |
| Price action distance std   | 1.32651   |
| Price action distance max   | 4.85545   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6015    |
| Equity/balance ratio std    | 0.1444    |
| No. fills                   | 15208     |
| No. entries                 | 9038      |
| No. closes                  | 6170      |
| No. initial entries         | 5867      |
| No. reentries               | 3170      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 62        |
| No. normal closes           | 6108      |
| Average n fills per day     | 20.0      |
| Mean hours stuck            | 2.11511   |
| Max hours stuck             | 6360.68   |
| PNL sum                     | 436.6     |
| Profit sum                  | 442.6     |
| Loss sum                    | -6.06     |
| Fee sum                     | -18.71    |
| Biggest pos size            | 412.5     |
| Biggest pos cost            | 681.4     |
| Volume quote                | 187064.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.61%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -915.823  |
| Total gain                  | -91.23%   |
| Average daily gain          | -0.605%   |
| DG mean std ratio           | -0.0415   |
| Price action distance mean  | 0.168295  |
| Price action distance std   | 0.185041  |
| Price action distance max   | 0.646102  |
| Closest bankruptcy          | 5.96%     |
| Lowest equity/balance ratio | 0.08679   |
| Equity/balance ratio std    | 0.1063    |
| No. fills                   | 4058      |
| No. entries                 | 2586      |
| No. closes                  | 1471      |
| No. initial entries         | 514       |
| No. reentries               | 2052      |
| No. unstuck entries         | 20        |
| No. unstuck closes          | 957       |
| No. normal closes           | 514       |
| Average n fills per day     | 5.35      |
| Mean hours stuck            | 12.1151   |
| Max hours stuck             | 14871.3   |
| PNL sum                     | -912.3    |
| Profit sum                  | 113.9     |
| Loss sum                    | -1026.0   |
| Fee sum                     | -3.559    |
| Biggest pos size            | 354.0     |
| Biggest pos cost            | 546.5     |
| Volume quote                | 35094.8   |
+-----------------------------+-----------+
