+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0146%   |
| Final balance               | 1073.6    |
| Final equity                | 1072.63   |
| Net PNL + fees              | 73.6003   |
| Total gain                  | 8.315%    |
| Average daily gain          | 0.0129%   |
| DG mean std ratio           | 0.01259   |
| Price action distance mean  | 0.0150067 |
| Price action distance std   | 0.0320328 |
| Price action distance max   | 1.78097   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6794    |
| Equity/balance ratio std    | 0.01076   |
| No. fills                   | 17132     |
| No. entries                 | 11694     |
| No. closes                  | 5438      |
| No. initial entries         | 3267      |
| No. reentries               | 8022      |
| No. unstuck entries         | 405       |
| No. unstuck closes          | 1758      |
| No. normal closes           | 3680      |
| Average n fills per day     | 17.6      |
| Mean hours stuck            | 3.19759   |
| Max hours stuck             | 127.0     |
| PNL sum                     | 83.15     |
| Profit sum                  | 437.2     |
| Loss sum                    | -354.0    |
| Fee sum                     | -9.553    |
| Biggest pos size            | 37.69     |
| Biggest pos cost            | 557.8     |
| Volume quote                | 95531.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -906.858  |
| Total gain                  | -90.49%   |
| Average daily gain          | -0.471%   |
| DG mean std ratio           | -0.0438   |
| Price action distance mean  | 0.0311126 |
| Price action distance std   | 0.0867166 |
| Price action distance max   | 0.644731  |
| Closest bankruptcy          | 5.982%    |
| Lowest equity/balance ratio | 0.09126   |
| Equity/balance ratio std    | 0.0566    |
| No. fills                   | 1065      |
| No. entries                 | 629       |
| No. closes                  | 435       |
| No. initial entries         | 225       |
| No. reentries               | 362       |
| No. unstuck entries         | 42        |
| No. unstuck closes          | 209       |
| No. normal closes           | 226       |
| Average n fills per day     | 1.09      |
| Mean hours stuck            | 29.5283   |
| Max hours stuck             | 14452.0   |
| PNL sum                     | -904.9    |
| Profit sum                  | 203.9     |
| Loss sum                    | -1109.0   |
| Fee sum                     | -1.953    |
| Biggest pos size            | 43.62     |
| Biggest pos cost            | 601.7     |
| Volume quote                | 18980.3   |
+-----------------------------+-----------+
