+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | UNIUSDT  |
| No. days                    | 754.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0524%  |
| Final balance               | 1432.85  |
| Final equity                | 1421.19  |
| Net PNL + fees              | 432.854  |
| Total gain                  | 47.1%    |
| Average daily gain          | 0.101%   |
| DG mean std ratio           | 0.03012  |
| Price action distance mean  | 0.195195 |
| Price action distance std   | 0.348282 |
| Price action distance max   | 2.11589  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3826   |
| Equity/balance ratio std    | 0.1399   |
| No. fills                   | 12241    |
| No. entries                 | 6392     |
| No. closes                  | 5849     |
| No. initial entries         | 5455     |
| No. reentries               | 930      |
| No. unstuck entries         | 7        |
| No. unstuck closes          | 193      |
| No. normal closes           | 5656     |
| Average n fills per day     | 16.2     |
| Mean hours stuck            | 3.18051  |
| Max hours stuck             | 1496.35  |
| PNL sum                     | 471.0    |
| Profit sum                  | 928.6    |
| Loss sum                    | -457.6   |
| Fee sum                     | -38.11   |
| Biggest pos size            | 461.9    |
| Biggest pos cost            | 1623.0   |
| Volume quote                | 381073.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -20.0%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -940.943 |
| Total gain                  | -93.98%  |
| Average daily gain          | -0.608%  |
| DG mean std ratio           | -0.05538 |
| Price action distance mean  | 0.384267 |
| Price action distance std   | 0.293302 |
| Price action distance max   | 0.91151  |
| Closest bankruptcy          | 5.586%   |
| Lowest equity/balance ratio | 0.0623   |
| Equity/balance ratio std    | 0.09589  |
| No. fills                   | 3911     |
| No. entries                 | 2170     |
| No. closes                  | 1740     |
| No. initial entries         | 1437     |
| No. reentries               | 730      |
| No. unstuck entries         | 3        |
| No. unstuck closes          | 15       |
| No. normal closes           | 1725     |
| Average n fills per day     | 5.18     |
| Mean hours stuck            | 12.8643  |
| Max hours stuck             | 14743.8  |
| PNL sum                     | -939.8   |
| Profit sum                  | 28.45    |
| Loss sum                    | -968.2   |
| Fee sum                     | -1.174   |
| Biggest pos size            | 48.7     |
| Biggest pos cost            | 93.46    |
| Volume quote                | 11649.8  |
+-----------------------------+----------+
