+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0728%   |
| Final balance               | 1444.82   |
| Final equity                | 1444.69   |
| Net PNL + fees              | 444.824   |
| Total gain                  | 46.39%    |
| Average daily gain          | 0.0387%   |
| DG mean std ratio           | 0.05848   |
| Price action distance mean  | 0.0177007 |
| Price action distance std   | 0.0403257 |
| Price action distance max   | 0.901179  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7628    |
| Equity/balance ratio std    | 0.0139    |
| No. fills                   | 16867     |
| No. entries                 | 9163      |
| No. closes                  | 7704      |
| No. initial entries         | 7475      |
| No. reentries               | 1682      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 206       |
| No. normal closes           | 7498      |
| Average n fills per day     | 16.7      |
| Mean hours stuck            | 2.37242   |
| Max hours stuck             | 234.95    |
| PNL sum                     | 463.9     |
| Profit sum                  | 472.1     |
| Loss sum                    | -8.156    |
| Fee sum                     | -19.07    |
| Biggest pos size            | 2585.0    |
| Biggest pos cost            | 701.3     |
| Volume quote                | 190720.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0604%   |
| Final balance               | 1357.07   |
| Final equity                | 1357.06   |
| Net PNL + fees              | 357.071   |
| Total gain                  | 37.01%    |
| Average daily gain          | 0.0715%   |
| DG mean std ratio           | 0.02512   |
| Price action distance mean  | 0.0365321 |
| Price action distance std   | 0.0751034 |
| Price action distance max   | 0.598346  |
| Closest bankruptcy          | 20.19%    |
| Lowest equity/balance ratio | 0.2557    |
| Equity/balance ratio std    | 0.07184   |
| No. fills                   | 13696     |
| No. entries                 | 8149      |
| No. closes                  | 5547      |
| No. initial entries         | 5515      |
| No. reentries               | 2634      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 14        |
| No. normal closes           | 5533      |
| Average n fills per day     | 13.6      |
| Mean hours stuck            | 4.50012   |
| Max hours stuck             | 781.067   |
| PNL sum                     | 370.1     |
| Profit sum                  | 370.4     |
| Loss sum                    | -0.278    |
| Fee sum                     | -13.04    |
| Biggest pos size            | 2327.0    |
| Biggest pos cost            | 673.2     |
| Volume quote                | 130388.0  |
+-----------------------------+-----------+
