+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.126%    |
| Final balance               | 3066.84   |
| Final equity                | 3044.44   |
| Net PNL + fees              | 2066.84   |
| Total gain                  | 216.1%    |
| Average daily gain          | 0.139%    |
| DG mean std ratio           | 0.06575   |
| Price action distance mean  | 0.0428443 |
| Price action distance std   | 0.0868314 |
| Price action distance max   | 1.72895   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4243    |
| Equity/balance ratio std    | 0.05518   |
| No. fills                   | 25481     |
| No. entries                 | 17071     |
| No. closes                  | 8410      |
| No. initial entries         | 8206      |
| No. reentries               | 8865      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8410      |
| Average n fills per day     | 26.1      |
| Mean hours stuck            | 1.64913   |
| Max hours stuck             | 1628.58   |
| PNL sum                     | 2161.0    |
| Profit sum                  | 2161.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -94.58    |
| Biggest pos size            | 54.33     |
| Biggest pos cost            | 2595.0    |
| Volume quote                | 945794.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.299%   |
| Final balance               | 766.793   |
| Final equity                | 766.777   |
| Net PNL + fees              | -233.207  |
| Total gain                  | -23.13%   |
| Average daily gain          | -0.0224%  |
| DG mean std ratio           | -0.02304  |
| Price action distance mean  | 0.121258  |
| Price action distance std   | 0.180221  |
| Price action distance max   | 0.811688  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6074    |
| Equity/balance ratio std    | 0.0473    |
| No. fills                   | 7983      |
| No. entries                 | 4475      |
| No. closes                  | 3508      |
| No. initial entries         | 3482      |
| No. reentries               | 986       |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 27        |
| No. normal closes           | 3481      |
| Average n fills per day     | 8.18      |
| Mean hours stuck            | 7.94031   |
| Max hours stuck             | 1375.2    |
| PNL sum                     | -231.3    |
| Profit sum                  | 27.28     |
| Loss sum                    | -258.5    |
| Fee sum                     | -1.941    |
| Biggest pos size            | 7.08      |
| Biggest pos cost            | 107.5     |
| Volume quote                | 19413.8   |
+-----------------------------+-----------+
