+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.115%    |
| Final balance               | 1541.79   |
| Final equity                | 1539.55   |
| Net PNL + fees              | 541.794   |
| Total gain                  | 58.17%    |
| Average daily gain          | 0.0642%   |
| DG mean std ratio           | 0.05363   |
| Price action distance mean  | 0.0577349 |
| Price action distance std   | 0.0827121 |
| Price action distance max   | 1.15914   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.732     |
| Equity/balance ratio std    | 0.02274   |
| No. fills                   | 23067     |
| No. entries                 | 12382     |
| No. closes                  | 10685     |
| No. initial entries         | 10506     |
| No. reentries               | 1871      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 72        |
| No. normal closes           | 10613     |
| Average n fills per day     | 30.6      |
| Mean hours stuck            | 3.40406   |
| Max hours stuck             | 739.733   |
| PNL sum                     | 581.7     |
| Profit sum                  | 652.8     |
| Loss sum                    | -71.08    |
| Fee sum                     | -39.91    |
| Biggest pos size            | 147.4     |
| Biggest pos cost            | 771.9     |
| Volume quote                | 399104.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.63%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -914.854  |
| Total gain                  | -91.3%    |
| Average daily gain          | -0.608%   |
| DG mean std ratio           | -0.06083  |
| Price action distance mean  | 0.207237  |
| Price action distance std   | 0.161963  |
| Price action distance max   | 0.645041  |
| Closest bankruptcy          | 5.931%    |
| Lowest equity/balance ratio | 0.09152   |
| Equity/balance ratio std    | 0.08127   |
| No. fills                   | 1373      |
| No. entries                 | 690       |
| No. closes                  | 682       |
| No. initial entries         | 560       |
| No. reentries               | 125       |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 115       |
| No. normal closes           | 567       |
| Average n fills per day     | 1.82      |
| Mean hours stuck            | 30.7521   |
| Max hours stuck             | 15224.4   |
| PNL sum                     | -913.0    |
| Profit sum                  | 33.34     |
| Loss sum                    | -946.3    |
| Fee sum                     | -1.884    |
| Biggest pos size            | 180.0     |
| Biggest pos cost            | 516.2     |
| Volume quote                | 18331.4   |
+-----------------------------+-----------+
