+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0767%   |
| Final balance               | 1467.92   |
| Final equity                | 1466.71   |
| Net PNL + fees              | 467.923   |
| Total gain                  | 49.08%    |
| Average daily gain          | 0.0435%   |
| DG mean std ratio           | 0.04271   |
| Price action distance mean  | 0.0764344 |
| Price action distance std   | 0.121946  |
| Price action distance max   | 0.921146  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7603    |
| Equity/balance ratio std    | 0.04324   |
| No. fills                   | 22870     |
| No. entries                 | 14838     |
| No. closes                  | 8032      |
| No. initial entries         | 6798      |
| No. reentries               | 8037      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 811       |
| No. normal closes           | 7221      |
| Average n fills per day     | 22.8      |
| Mean hours stuck            | 1.62509   |
| Max hours stuck             | 1974.77   |
| PNL sum                     | 490.8     |
| Profit sum                  | 519.6     |
| Loss sum                    | -28.75    |
| Fee sum                     | -22.9     |
| Biggest pos size            | 41125.0   |
| Biggest pos cost            | 709.9     |
| Volume quote                | 228961.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.0281%  |
| Final balance               | 868.831   |
| Final equity                | 868.827   |
| Net PNL + fees              | -131.169  |
| Total gain                  | -12.22%   |
| Average daily gain          | 0.0435%   |
| DG mean std ratio           | 0.01295   |
| Price action distance mean  | 0.0812144 |
| Price action distance std   | 0.12706   |
| Price action distance max   | 0.587133  |
| Closest bankruptcy          | 23.75%    |
| Lowest equity/balance ratio | 0.2889    |
| Equity/balance ratio std    | 0.1027    |
| No. fills                   | 12686     |
| No. entries                 | 6654      |
| No. closes                  | 6032      |
| No. initial entries         | 5254      |
| No. reentries               | 1394      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 732       |
| No. normal closes           | 5300      |
| Average n fills per day     | 12.7      |
| Mean hours stuck            | 4.46922   |
| Max hours stuck             | 1212.27   |
| PNL sum                     | -122.2    |
| Profit sum                  | 149.9     |
| Loss sum                    | -272.1    |
| Fee sum                     | -8.97     |
| Biggest pos size            | 20453.0   |
| Biggest pos cost            | 543.3     |
| Volume quote                | 89703.5   |
+-----------------------------+-----------+
