+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1780.45   |
| Final equity                | 1772.38   |
| Net PNL + fees              | 780.452   |
| Total gain                  | 82.06%    |
| Average daily gain          | 0.0638%   |
| DG mean std ratio           | 0.05328   |
| Price action distance mean  | 0.0981534 |
| Price action distance std   | 0.175988  |
| Price action distance max   | 1.13313   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7344    |
| Equity/balance ratio std    | 0.05588   |
| No. fills                   | 33835     |
| No. entries                 | 23168     |
| No. closes                  | 10667     |
| No. initial entries         | 9628      |
| No. reentries               | 13534     |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 185       |
| No. normal closes           | 10482     |
| Average n fills per day     | 33.5      |
| Mean hours stuck            | 1.36031   |
| Max hours stuck             | 1349.48   |
| PNL sum                     | 820.6     |
| Profit sum                  | 962.8     |
| Loss sum                    | -142.3    |
| Fee sum                     | -40.1     |
| Biggest pos size            | 2572.0    |
| Biggest pos cost            | 902.6     |
| Volume quote                | 400997.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.0452%  |
| Final balance               | 795.764   |
| Final equity                | 795.71    |
| Net PNL + fees              | -204.236  |
| Total gain                  | -19.71%   |
| Average daily gain          | 0.0441%   |
| DG mean std ratio           | 0.01207   |
| Price action distance mean  | 0.0473695 |
| Price action distance std   | 0.101073  |
| Price action distance max   | 0.595834  |
| Closest bankruptcy          | 21.14%    |
| Lowest equity/balance ratio | 0.2637    |
| Equity/balance ratio std    | 0.08541   |
| No. fills                   | 10794     |
| No. entries                 | 5803      |
| No. closes                  | 4991      |
| No. initial entries         | 4722      |
| No. reentries               | 1073      |
| No. unstuck entries         | 8         |
| No. unstuck closes          | 130       |
| No. normal closes           | 4861      |
| Average n fills per day     | 10.7      |
| Mean hours stuck            | 4.29836   |
| Max hours stuck             | 375.133   |
| PNL sum                     | -197.1    |
| Profit sum                  | 179.9     |
| Loss sum                    | -377.0    |
| Fee sum                     | -7.11     |
| Biggest pos size            | 2011.0    |
| Biggest pos cost            | 518.5     |
| Volume quote                | 71096.0   |
+-----------------------------+-----------+
